date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,23.7,67,7.6,0.0,997.3
2016-07-01 01:00:00,23.1,62,7.6,0.0,997.3
2016-07-01 02:00:00,22.4,58,9.4,0.0,997.3
2016-07-01 03:00:00,22.1,62,8.4,0.0,997.1
2016-07-01 04:00:00,21.7,60,8.1,0.0,997.1
2016-07-01 05:00:00,20.7,63,8.4,0.0,996.8
2016-07-01 06:00:00,20.9,65,10.5,48.0,998.3
2016-07-01 07:00:00,23.0,59,10.1,182.0,998.0
2016-07-01 08:00:00,25.3,50,8.8,342.0,998.6
2016-07-01 09:00:00,26.8,42,10.7,499.0,998.5
2016-07-01 10:00:00,27.7,41,11.2,619.0,998.2
2016-07-01 11:00:00,28.6,40,8.5,750.0,997.8
2016-07-01 12:00:00,29.3,39,6.4,820.0,997.7
2016-07-01 13:00:00,29.8,38,5.5,877.0,997.1
2016-07-01 14:00:00,30.0,37,4.7,756.0,996.5
2016-07-01 15:00:00,30.5,31,5.4,670.0,996.1
2016-07-01 16:00:00,30.2,32,7.1,488.0,995.6
2016-07-01 17:00:00,29.9,33,5.4,400.0,995.5
2016-07-01 18:00:00,29.5,36,4.3,255.0,995.0
2016-07-01 19:00:00,28.4,42,7.1,101.0,996.0
2016-07-01 20:00:00,26.6,48,9.5,15.0,996.1
2016-07-01 21:00:00,25.0,54,7.9,0.0,996.6
2016-07-01 22:00:00,23.7,60,8.2,0.0,997.0
2016-07-01 23:00:00,22.8,66,7.4,0.0,997.4
2016-07-02 00:00:00,21.8,72,6.4,0.0,997.3
2016-07-02 01:00:00,20.8,79,4.3,0.0,997.3
2016-07-02 02:00:00,20.0,83,3.7,0.0,997.3
2016-07-02 03:00:00,20.8,78,4.1,0.0,997.4
2016-07-02 04:00:00,20.7,80,3.4,0.0,997.7
2016-07-02 05:00:00,20.4,81,2.3,0.0,997.9
2016-07-02 06:00:00,20.5,82,1.1,47.0,998.2
2016-07-02 07:00:00,22.2,77,0.5,178.0,999.0
2016-07-02 08:00:00,24.1,70,1.1,344.0,999.5
2016-07-02 09:00:00,26.0,63,1.8,523.0,999.0
2016-07-02 10:00:00,27.7,57,2.5,669.0,999.1
2016-07-02 11:00:00,29.2,51,3.7,774.0,998.7
2016-07-02 12:00:00,30.5,44,4.5,849.0,998.2
2016-07-02 13:00:00,31.1,40,5.9,788.0,997.8
2016-07-02 14:00:00,31.5,37,6.9,667.0,997.6
2016-07-02 15:00:00,32.2,33,7.6,573.0,997.3
2016-07-02 16:00:00,32.3,32,8.4,536.0,997.2
2016-07-02 17:00:00,31.9,34,8.0,405.0,997.0
2016-07-02 18:00:00,30.9,40,7.6,230.0,996.7
2016-07-02 19:00:00,29.5,45,7.6,109.0,997.2
2016-07-02 20:00:00,27.6,50,8.7,15.0,997.3
2016-07-02 21:00:00,26.3,55,9.6,0.0,998.3
2016-07-02 22:00:00,25.0,60,9.1,0.0,998.7
2016-07-02 23:00:00,23.6,68,7.3,0.0,999.0
2016-07-03 00:00:00,22.7,72,6.3,0.0,999.3
