date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,29.1,70,19.5,0.0,997.9
2016-07-01 01:00:00,28.7,70,20.6,0.0,996.8
2016-07-01 02:00:00,28.4,71,22.0,0.0,996.5
2016-07-01 03:00:00,26.9,80,22.3,0.0,996.1
2016-07-01 04:00:00,26.7,80,21.6,0.0,995.8
2016-07-01 05:00:00,26.7,79,21.3,0.0,995.5
2016-07-01 06:00:00,26.6,79,18.4,3.0,996.2
2016-07-01 07:00:00,26.8,79,19.8,50.0,996.5
2016-07-01 08:00:00,27.3,77,20.2,136.0,996.5
2016-07-01 09:00:00,27.8,76,21.2,198.0,997.1
2016-07-01 10:00:00,28.9,73,22.0,363.0,997.1
2016-07-01 11:00:00,30.0,69,19.8,535.0,997.5
2016-07-01 12:00:00,30.8,65,19.1,564.0,997.2
2016-07-01 13:00:00,30.2,71,18.5,377.0,996.5
2016-07-01 14:00:00,29.7,75,18.1,298.0,996.0
2016-07-01 15:00:00,28.5,82,21.6,219.0,995.3
2016-07-01 16:00:00,28.6,81,19.8,173.0,995.0
2016-07-01 17:00:00,28.6,82,18.4,132.0,994.9
2016-07-01 18:00:00,27.9,86,14.2,65.0,996.0
2016-07-01 19:00:00,27.5,85,13.6,32.0,996.1
2016-07-01 20:00:00,27.3,85,11.4,2.0,996.4
2016-07-01 21:00:00,27.1,85,13.5,0.0,997.3
2016-07-01 22:00:00,26.9,85,14.6,0.0,997.6
2016-07-01 23:00:00,26.6,87,14.1,0.0,998.0
2016-07-02 00:00:00,26.1,89,13.3,0.0,997.8
2016-07-02 01:00:00,26.0,90,13.3,0.0,997.4
2016-07-02 02:00:00,25.9,90,13.7,0.0,997.0
2016-07-02 03:00:00,25.8,88,13.3,0.0,996.8
2016-07-02 04:00:00,25.8,87,13.3,0.0,996.7
2016-07-02 05:00:00,25.6,88,13.3,0.0,996.8
2016-07-02 06:00:00,25.4,91,11.2,2.0,998.0
2016-07-02 07:00:00,25.5,91,11.6,20.0,997.9
2016-07-02 08:00:00,25.6,91,12.3,31.0,998.3
2016-07-02 09:00:00,25.8,91,13.0,50.0,998.8
2016-07-02 10:00:00,25.9,91,14.1,46.0,998.7
2016-07-02 11:00:00,26.0,92,14.1,65.0,999.0
2016-07-02 12:00:00,26.0,92,14.8,87.0,998.6
2016-07-02 13:00:00,26.0,92,14.9,81.0,998.4
2016-07-02 14:00:00,26.6,92,15.2,149.0,997.6
2016-07-02 15:00:00,26.5,91,13.6,99.0,997.4
2016-07-02 16:00:00,26.6,91,12.7,103.0,996.6
2016-07-02 17:00:00,26.5,92,11.6,65.0,996.5
2016-07-02 18:00:00,26.3,93,6.5,33.0,998.0
2016-07-02 19:00:00,26.1,93,7.6,12.0,997.7
2016-07-02 20:00:00,25.9,94,5.1,1.0,997.9
2016-07-02 21:00:00,25.9,94,5.8,0.0,998.3
2016-07-02 22:00:00,25.9,95,7.2,0.0,998.5
2016-07-02 23:00:00,25.9,95,8.2,0.0,998.7
2016-07-03 00:00:00,25.8,94,6.4,0.0,998.3
2016-07-03 01:00:00,25.9,94,6.0,0.0,997.9
2016-07-03 02:00:00,25.9,93,7.4,0.0,997.6
2016-07-03 03:00:00,25.3,94,8.4,0.0,996.9
2016-07-03 04:00:00,25.3,94,9.8,0.0,997.0
2016-07-03 05:00:00,25.3,94,11.2,0.0,996.9
2016-07-03 06:00:00,25.2,94,11.9,0.0,997.5
2016-07-03 07:00:00,25.1,94,12.6,4.0,998.1
2016-07-03 08:00:00,25.1,94,10.8,14.0,998.4
2016-07-03 09:00:00,25.1,95,10.4,15.0,998.7
2016-07-03 10:00:00,25.3,95,10.5,33.0,998.8
2016-07-03 11:00:00,25.5,95,10.1,41.0,999.4
2016-07-03 12:00:00,25.5,95,11.6,35.0,998.7
2016-07-03 13:00:00,25.5,95,10.5,32.0,998.1
2016-07-03 14:00:00,25.8,94,7.9,58.0,997.6
2016-07-03 15:00:00,25.9,94,7.1,56.0,996.8
2016-07-03 16:00:00,26.2,94,7.1,60.0,996.2
2016-07-03 17:00:00,26.0,95,7.4,35.0,995.6
2016-07-03 18:00:00,25.9,95,8.4,19.0,996.2
2016-07-03 19:00:00,25.6,94,9.3,5.0,996.0
2016-07-03 20:00:00,25.3,95,8.6,1.0,996.4
2016-07-03 21:00:00,25.2,96,9.4,0.0,996.8
2016-07-03 22:00:00,25.1,96,9.4,0.0,997.1
2016-07-03 23:00:00,25.1,96,7.2,0.0,997.2
