date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,24.3,84,3.9,0.0,949.3
2016-07-01 01:00:00,23.2,89,6.8,0.0,948.5
2016-07-01 02:00:00,22.2,93,6.4,0.0,947.6
2016-07-01 03:00:00,21.9,96,4.7,0.0,947.0
2016-07-01 04:00:00,21.6,97,4.2,0.0,946.4
2016-07-01 05:00:00,21.3,97,4.4,0.0,946.1
2016-07-01 06:00:00,21.1,98,4.8,0.0,946.7
2016-07-01 07:00:00,21.6,98,7.5,30.0,946.8
2016-07-01 08:00:00,24.3,90,3.3,136.0,948.3
2016-07-01 09:00:00,26.1,80,1.5,297.0,949.3
2016-07-01 10:00:00,27.6,73,4.2,432.0,949.5
2016-07-01 11:00:00,28.8,68,6.3,531.0,949.7
2016-07-01 12:00:00,29.8,64,8.7,624.0,949.6
2016-07-01 13:00:00,30.5,63,9.6,616.0,949.0
2016-07-01 14:00:00,31.3,61,9.7,710.0,948.6
2016-07-01 15:00:00,31.5,60,9.6,580.0,948.3
2016-07-01 16:00:00,31.1,61,9.1,377.0,947.6
2016-07-01 17:00:00,31.2,60,6.8,372.0,947.2
2016-07-01 18:00:00,30.9,62,2.5,254.0,947.8
2016-07-01 19:00:00,30.2,69,1.8,129.0,946.9
2016-07-01 20:00:00,29.6,69,5.4,32.0,947.8
2016-07-01 21:00:00,27.2,84,6.9,0.0,947.7
2016-07-01 22:00:00,26.0,88,6.6,0.0,948.0
2016-07-01 23:00:00,25.6,89,5.5,0.0,948.6
2016-07-02 00:00:00,25.6,88,5.9,0.0,948.7
2016-07-02 01:00:00,25.6,87,6.8,0.0,948.4
2016-07-02 02:00:00,25.0,89,6.9,0.0,947.7
2016-07-02 03:00:00,24.7,91,6.9,0.0,947.5
2016-07-02 04:00:00,24.3,92,6.1,0.0,947.3
2016-07-02 05:00:00,24.4,92,4.8,0.0,947.5
2016-07-02 06:00:00,23.7,94,5.4,0.0,948.3
2016-07-02 07:00:00,24.1,94,4.8,24.0,948.5
2016-07-02 08:00:00,26.2,87,2.6,157.0,949.4
2016-07-02 09:00:00,28.4,79,1.1,368.0,950.1
2016-07-02 10:00:00,29.7,73,1.4,498.0,950.4
2016-07-02 11:00:00,30.8,68,0.5,695.0,950.7
2016-07-02 12:00:00,31.5,64,2.1,744.0,950.5
2016-07-02 13:00:00,32.2,61,1.1,841.0,949.8
2016-07-02 14:00:00,32.1,62,0.5,785.0,949.3
2016-07-02 15:00:00,31.4,66,0.8,522.0,948.1
2016-07-02 16:00:00,31.3,65,2.6,385.0,947.7
2016-07-02 17:00:00,30.5,65,3.3,335.0,946.8
2016-07-02 18:00:00,29.5,69,3.9,170.0,946.9
2016-07-02 19:00:00,28.7,76,3.7,76.0,946.9
2016-07-02 20:00:00,27.7,83,4.0,27.0,947.9
2016-07-02 21:00:00,26.7,89,5.5,0.0,948.1
2016-07-02 22:00:00,26.7,86,5.7,0.0,948.8
2016-07-02 23:00:00,26.1,89,2.6,0.0,948.6
2016-07-03 00:00:00,25.4,92,4.3,0.0,949.0
2016-07-03 01:00:00,24.7,94,4.1,0.0,948.5
2016-07-03 02:00:00,24.5,93,3.7,0.0,948.4
2016-07-03 03:00:00,24.5,89,3.7,0.0,947.9
2016-07-03 04:00:00,24.2,88,4.3,0.0,947.2
2016-07-03 05:00:00,23.7,89,3.5,0.0,947.0
2016-07-03 06:00:00,23.6,88,6.2,0.0,948.7
2016-07-03 07:00:00,23.7,88,6.8,25.0,948.9
2016-07-03 08:00:00,24.8,84,4.3,123.0,949.7
2016-07-03 09:00:00,26.1,78,4.0,294.0,950.0
2016-07-03 10:00:00,26.9,76,4.5,433.0,950.0
2016-07-03 11:00:00,28.0,73,3.1,592.0,950.1
2016-07-03 12:00:00,29.0,71,1.8,656.0,949.6
2016-07-03 13:00:00,30.1,67,1.1,813.0,949.2
2016-07-03 14:00:00,30.8,66,1.8,817.0,948.5
2016-07-03 15:00:00,30.7,61,0.8,611.0,947.5
2016-07-03 16:00:00,30.6,61,1.6,515.0,947.1
2016-07-03 17:00:00,30.7,61,4.3,488.0,946.6
2016-07-03 18:00:00,30.5,61,2.3,357.0,946.5
2016-07-03 19:00:00,29.8,64,2.7,192.0,947.0
2016-07-03 20:00:00,28.6,70,5.2,47.0,947.2
2016-07-03 21:00:00,27.2,77,4.4,0.0,947.7
2016-07-03 22:00:00,26.2,84,5.4,0.0,948.3
2016-07-03 23:00:00,25.6,84,5.4,0.0,948.1
2016-07-04 00:00:00,25.4,84,5.4,0.0,948.1
2016-07-04 01:00:00,25.0,85,5.5,0.0,947.5
2016-07-04 02:00:00,24.5,88,4.8,0.0,947.1
2016-07-04 03:00:00,24.3,92,4.0,0.0,946.5
2016-07-04 04:00:00,24.1,92,5.2,0.0,946.6
2016-07-04 05:00:00,23.9,93,6.8,0.0,946.6
2016-07-04 06:00:00,23.8,93,5.9,0.0,947.6
2016-07-04 07:00:00,24.1,92,9.1,19.0,948.0
2016-07-04 08:00:00,25.0,89,8.9,87.0,948.4
2016-07-04 09:00:00,25.8,86,8.5,177.0,948.5
2016-07-04 10:00:00,26.9,82,6.9,297.0,948.9
2016-07-04 11:00:00,28.1,75,6.3,418.0,949.1
2016-07-04 12:00:00,28.9,72,5.7,459.0,949.2
2016-07-04 13:00:00,29.6,69,5.5,633.0,948.7
2016-07-04 14:00:00,30.3,67,6.3,654.0,948.0
2016-07-04 15:00:00,29.6,72,6.4,449.0,947.4
2016-07-04 16:00:00,29.6,72,6.5,344.0,947.4
2016-07-04 17:00:00,29.7,70,9.4,391.0,946.9
2016-07-04 18:00:00,28.2,77,8.3,253.0,946.9
2016-07-04 19:00:00,27.6,79,3.7,121.0,947.3
2016-07-04 20:00:00,26.9,82,3.6,36.0,948.1
2016-07-04 21:00:00,26.2,86,4.2,0.0,948.4
2016-07-04 22:00:00,25.7,89,5.2,0.0,949.0
2016-07-04 23:00:00,25.0,93,5.5,0.0,949.6
2016-07-05 00:00:00,24.8,94,5.4,0.0,949.5
2016-07-05 01:00:00,24.6,94,5.0,0.0,949.0
2016-07-05 02:00:00,24.4,94,4.7,0.0,948.4
2016-07-05 03:00:00,24.5,92,4.7,0.0,948.1
2016-07-05 04:00:00,24.5,91,4.1,0.0,947.8
2016-07-05 05:00:00,24.4,92,3.2,0.0,947.5
2016-07-05 06:00:00,24.2,93,3.0,0.0,948.6
