date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,27.4,82,11.3,0.0,1005.3
2016-07-01 01:00:00,27.0,82,10.8,0.0,1004.5
2016-07-01 02:00:00,26.7,83,10.2,0.0,1003.9
2016-07-01 03:00:00,26.9,84,10.4,0.0,1003.6
2016-07-01 04:00:00,26.7,84,10.9,0.0,1003.2
2016-07-01 05:00:00,26.6,84,10.8,0.0,1003.0
2016-07-01 06:00:00,26.3,86,8.0,7.0,1002.2
2016-07-01 07:00:00,26.6,87,10.1,54.0,1002.6
2016-07-01 08:00:00,27.4,85,11.2,114.0,1002.9
2016-07-01 09:00:00,28.3,83,13.0,181.0,1003.1
2016-07-01 10:00:00,29.4,80,13.7,282.0,1003.0
2016-07-01 11:00:00,30.4,76,12.7,336.0,1003.2
2016-07-01 12:00:00,31.4,71,14.6,422.0,1002.8
2016-07-01 13:00:00,32.4,66,15.6,558.0,1002.1
2016-07-01 14:00:00,33.0,63,15.7,578.0,1001.9
2016-07-01 15:00:00,32.0,69,10.7,347.0,1001.5
2016-07-01 16:00:00,31.9,70,6.8,289.0,1001.3
2016-07-01 17:00:00,31.6,72,4.1,188.0,1001.4
2016-07-01 18:00:00,30.7,77,8.0,89.0,1001.4
2016-07-01 19:00:00,29.5,83,6.5,21.0,1001.9
2016-07-01 20:00:00,28.8,85,5.9,0.0,1002.6
2016-07-01 21:00:00,29.1,80,4.4,0.0,1002.9
2016-07-01 22:00:00,28.1,85,2.7,0.0,1003.1
2016-07-01 23:00:00,27.2,90,2.3,0.0,1003.0
2016-07-02 00:00:00,26.6,93,4.7,0.0,1002.6
2016-07-02 01:00:00,26.6,92,5.9,0.0,1001.8
2016-07-02 02:00:00,26.8,89,7.8,0.0,1001.5
2016-07-02 03:00:00,26.5,84,9.7,0.0,1001.6
2016-07-02 04:00:00,26.4,83,9.2,0.0,1001.8
2016-07-02 05:00:00,26.1,84,6.7,0.0,1002.3
2016-07-02 06:00:00,25.8,88,4.3,18.0,1003.2
2016-07-02 07:00:00,26.4,87,5.5,95.0,1003.8
2016-07-02 08:00:00,27.4,84,6.5,239.0,1004.3
2016-07-02 09:00:00,28.6,80,8.1,466.0,1004.9
2016-07-02 10:00:00,29.8,76,8.0,631.0,1005.2
2016-07-02 11:00:00,30.9,72,6.0,652.0,1005.4
2016-07-02 12:00:00,31.9,69,4.6,729.0,1004.9
2016-07-02 13:00:00,32.7,66,4.5,767.0,1004.4
2016-07-02 14:00:00,33.0,65,5.8,668.0,1003.9
2016-07-02 15:00:00,30.7,74,7.2,433.0,1003.5
2016-07-02 16:00:00,30.0,79,9.7,268.0,1003.4
2016-07-02 17:00:00,28.7,85,6.4,147.0,1004.0
2016-07-02 18:00:00,27.2,92,3.9,56.0,1005.5
2016-07-02 19:00:00,26.9,93,2.6,10.0,1005.3
2016-07-02 20:00:00,26.8,93,3.9,0.0,1006.0
2016-07-02 21:00:00,26.9,92,5.8,0.0,1006.3
2016-07-02 22:00:00,26.2,96,6.7,0.0,1006.0
2016-07-02 23:00:00,25.9,97,5.4,0.0,1005.5
2016-07-03 00:00:00,25.7,97,4.6,0.0,1004.9
2016-07-03 01:00:00,25.5,98,4.5,0.0,1004.4
2016-07-03 02:00:00,25.4,98,3.1,0.0,1003.9
2016-07-03 03:00:00,25.3,98,3.4,0.0,1003.5
2016-07-03 04:00:00,24.7,99,3.7,0.0,1003.2
2016-07-03 05:00:00,24.8,99,5.0,0.0,1003.3
2016-07-03 06:00:00,25.1,98,1.1,13.0,1003.4
2016-07-03 07:00:00,25.8,96,1.5,42.0,1003.8
2016-07-03 08:00:00,26.6,93,2.8,86.0,1004.1
2016-07-03 09:00:00,27.7,89,4.8,178.0,1004.3
2016-07-03 10:00:00,29.0,85,6.5,292.0,1004.2
2016-07-03 11:00:00,30.5,79,8.3,449.0,1004.1
2016-07-03 12:00:00,31.2,75,7.7,417.0,1003.9
2016-07-03 13:00:00,31.4,73,9.3,374.0,1003.6
2016-07-03 14:00:00,31.7,70,11.5,432.0,1003.3
2016-07-03 15:00:00,30.1,76,11.2,237.0,1003.2
2016-07-03 16:00:00,30.0,75,8.4,194.0,1003.2
2016-07-03 17:00:00,29.4,77,5.0,78.0,1003.6
2016-07-03 18:00:00,28.8,81,5.8,34.0,1003.6
2016-07-03 19:00:00,28.2,82,5.6,11.0,1003.6
2016-07-03 20:00:00,27.7,84,7.4,0.0,1004.0
2016-07-03 21:00:00,27.3,87,7.6,0.0,1004.8
2016-07-03 22:00:00,27.0,89,6.4,0.0,1004.8
2016-07-03 23:00:00,26.7,92,5.5,0.0,1004.7
2016-07-04 00:00:00,26.4,93,6.2,0.0,1004.0
2016-07-04 01:00:00,26.2,94,7.1,0.0,1003.3
2016-07-04 02:00:00,26.0,95,7.4,0.0,1002.9
2016-07-04 03:00:00,26.1,93,6.7,0.0,1002.7
2016-07-04 04:00:00,26.0,93,6.8,0.0,1002.4
2016-07-04 05:00:00,26.0,92,7.6,0.0,1002.6
