date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,17.1,93,8.4,0.0,987.0
2016-07-01 01:00:00,16.6,92,8.4,0.0,987.0
2016-07-01 02:00:00,16.2,91,9.4,0.0,987.5
2016-07-01 03:00:00,16.5,96,10.5,0.0,987.5
2016-07-01 04:00:00,16.1,95,11.4,0.0,987.8
2016-07-01 05:00:00,15.6,95,12.7,6.0,988.5
2016-07-01 06:00:00,15.3,94,12.2,26.0,989.3
2016-07-01 07:00:00,15.4,92,12.5,50.0,990.1
2016-07-01 08:00:00,15.8,86,11.6,110.0,990.3
2016-07-01 09:00:00,17.5,77,11.0,329.0,990.8
2016-07-01 10:00:00,19.2,70,10.2,446.0,990.9
2016-07-01 11:00:00,20.6,64,9.1,534.0,991.2
2016-07-01 12:00:00,22.0,57,9.3,714.0,991.0
2016-07-01 13:00:00,23.2,51,8.5,845.0,990.8
2016-07-01 14:00:00,23.8,47,8.4,707.0,990.6
2016-07-01 15:00:00,23.0,51,7.7,622.0,990.1
2016-07-01 16:00:00,23.0,49,7.6,460.0,990.0
2016-07-01 17:00:00,22.9,49,5.4,320.0,989.9
2016-07-01 18:00:00,22.4,57,2.5,197.0,989.5
2016-07-01 19:00:00,20.6,72,5.9,71.0,989.8
2016-07-01 20:00:00,18.4,77,7.1,4.0,990.4
2016-07-01 21:00:00,17.0,80,7.6,0.0,990.7
2016-07-01 22:00:00,16.0,84,7.3,0.0,990.3
2016-07-01 23:00:00,14.9,87,6.8,0.0,990.0
2016-07-02 00:00:00,14.1,90,6.5,0.0,989.7
2016-07-02 01:00:00,13.8,91,7.2,0.0,989.3
2016-07-02 02:00:00,15.0,86,7.3,0.0,989.2
2016-07-02 03:00:00,14.9,87,4.9,0.0,989.1
2016-07-02 04:00:00,15.3,86,3.1,0.0,989.1
2016-07-02 05:00:00,15.4,87,1.5,44.0,989.5
2016-07-02 06:00:00,16.8,90,0.4,167.0,989.8
2016-07-02 07:00:00,19.8,73,0.4,327.0,990.6
2016-07-02 08:00:00,21.7,63,1.1,494.0,990.5
2016-07-02 09:00:00,23.0,56,3.0,637.0,990.3
2016-07-02 10:00:00,23.9,53,3.0,736.0,990.2
2016-07-02 11:00:00,24.5,51,2.9,783.0,990.0
2016-07-02 12:00:00,24.9,50,3.3,718.0,989.8
2016-07-02 13:00:00,25.3,49,2.5,726.0,989.3
2016-07-02 14:00:00,25.5,48,2.2,655.0,989.4
2016-07-02 15:00:00,25.2,50,2.9,509.0,989.0
2016-07-02 16:00:00,25.3,49,2.1,445.0,989.3
2016-07-02 17:00:00,25.2,50,0.7,297.0,989.3
2016-07-02 18:00:00,24.6,59,2.7,167.0,989.3
2016-07-02 19:00:00,23.0,66,6.4,65.0,989.2
2016-07-02 20:00:00,21.2,71,7.6,3.0,989.6
2016-07-02 21:00:00,20.0,75,7.8,0.0,990.5
2016-07-02 22:00:00,19.2,77,9.1,0.0,990.4
2016-07-02 23:00:00,18.6,78,10.2,0.0,990.6
2016-07-03 00:00:00,18.2,79,10.4,0.0,990.9
2016-07-03 01:00:00,17.9,79,10.9,0.0,990.9
2016-07-03 02:00:00,17.7,80,11.2,0.0,991.0
2016-07-03 03:00:00,17.8,79,10.9,0.0,991.2
2016-07-03 04:00:00,17.6,81,10.7,0.0,991.5
2016-07-03 05:00:00,17.9,82,11.9,42.0,991.7
2016-07-03 06:00:00,19.5,78,14.1,164.0,991.9
2016-07-03 07:00:00,21.4,72,14.9,325.0,992.7
2016-07-03 08:00:00,23.1,67,15.1,492.0,992.3
2016-07-03 09:00:00,24.6,64,15.5,645.0,992.8
2016-07-03 10:00:00,25.9,62,15.6,766.0,992.7
2016-07-03 11:00:00,27.0,59,15.2,846.0,992.5
2016-07-03 12:00:00,27.9,57,14.8,878.0,992.3
2016-07-03 13:00:00,28.6,55,14.9,857.0,992.1
2016-07-03 14:00:00,29.0,55,14.8,787.0,992.0
2016-07-03 15:00:00,29.1,54,14.6,674.0,991.8
2016-07-03 16:00:00,29.2,54,13.1,529.0,991.6
2016-07-03 17:00:00,28.8,60,10.1,365.0,991.6
