date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,18.8,97,6.7,0.0,811.0
2016-07-01 01:00:00,18.6,97,6.1,0.0,810.6
2016-07-01 02:00:00,18.5,98,7.4,0.0,809.9
2016-07-01 03:00:00,18.6,97,6.9,0.0,809.5
2016-07-01 04:00:00,18.4,97,7.5,0.0,809.5
2016-07-01 05:00:00,18.3,98,8.9,0.0,809.2
2016-07-01 06:00:00,18.1,98,3.5,0.0,809.8
2016-07-01 07:00:00,17.9,97,4.5,9.0,809.6
2016-07-01 08:00:00,18.9,91,6.9,47.0,811.1
2016-07-01 09:00:00,19.2,92,8.4,119.0,811.6
2016-07-01 10:00:00,20.2,92,8.7,271.0,812.9
2016-07-01 11:00:00,20.8,91,9.5,317.0,813.2
2016-07-01 12:00:00,21.3,90,8.1,374.0,813.4
2016-07-01 13:00:00,21.2,90,6.8,310.0,812.9
2016-07-01 14:00:00,21.7,89,5.9,409.0,812.5
2016-07-01 15:00:00,21.4,89,3.4,347.0,812.0
2016-07-01 16:00:00,21.4,87,2.9,332.0,810.9
2016-07-01 17:00:00,21.0,87,1.8,221.0,810.5
2016-07-01 18:00:00,20.5,87,3.7,139.0,811.3
2016-07-01 19:00:00,19.3,95,3.5,52.0,810.6
2016-07-01 20:00:00,18.4,96,3.6,7.0,811.4
2016-07-01 21:00:00,18.0,98,3.5,0.0,811.6
2016-07-01 22:00:00,17.7,98,3.1,0.0,812.2
2016-07-01 23:00:00,17.5,98,1.9,0.0,812.7
2016-07-02 00:00:00,17.4,98,0.4,0.0,812.6
2016-07-02 01:00:00,17.4,99,1.3,0.0,812.1
2016-07-02 02:00:00,17.5,99,3.0,0.0,811.7
2016-07-02 03:00:00,17.6,98,3.1,0.0,811.2
2016-07-02 04:00:00,17.5,99,3.4,0.0,811.0
2016-07-02 05:00:00,17.6,99,3.1,0.0,810.8
2016-07-02 06:00:00,17.5,99,3.3,0.0,811.1
2016-07-02 07:00:00,17.5,99,2.4,2.0,811.0
2016-07-02 08:00:00,17.8,97,2.3,14.0,812.0
2016-07-02 09:00:00,17.8,98,1.9,34.0,812.6
2016-07-02 10:00:00,18.0,98,2.2,52.0,813.1
2016-07-02 11:00:00,18.6,94,3.0,163.0,813.4
2016-07-02 12:00:00,19.4,92,2.6,194.0,813.6
2016-07-02 13:00:00,20.0,93,4.1,238.0,813.0
2016-07-02 14:00:00,20.4,93,3.2,224.0,812.3
2016-07-02 15:00:00,22.2,88,4.8,474.0,812.4
2016-07-02 16:00:00,22.3,86,7.9,441.0,812.1
2016-07-02 17:00:00,21.8,87,8.4,324.0,811.4
2016-07-02 18:00:00,20.5,87,7.1,161.0,810.8
2016-07-02 19:00:00,20.1,88,5.4,77.0,810.4
2016-07-02 20:00:00,19.8,90,5.9,23.0,811.3
2016-07-02 21:00:00,19.5,91,5.1,0.0,811.9
2016-07-02 22:00:00,19.1,93,5.8,0.0,811.9
2016-07-02 23:00:00,18.8,94,7.2,0.0,812.2
2016-07-03 00:00:00,18.5,94,6.6,0.0,812.2
2016-07-03 01:00:00,18.1,97,7.1,0.0,811.6
2016-07-03 02:00:00,17.9,98,8.2,0.0,810.9
2016-07-03 03:00:00,18.0,99,8.2,0.0,810.6
2016-07-03 04:00:00,18.1,99,7.9,0.0,810.7
2016-07-03 05:00:00,18.1,99,8.9,0.0,810.4
2016-07-03 06:00:00,18.2,98,6.1,0.0,811.0
2016-07-03 07:00:00,18.1,98,6.3,7.0,810.8
2016-07-03 08:00:00,18.3,95,10.0,69.0,811.5
2016-07-03 09:00:00,19.2,89,13.0,178.0,811.9
2016-07-03 10:00:00,20.0,84,16.6,308.0,812.2
2016-07-03 11:00:00,20.9,79,20.2,375.0,812.8
2016-07-03 12:00:00,21.5,78,21.9,425.0,812.7
2016-07-03 13:00:00,21.9,79,20.1,465.0,812.6
2016-07-03 14:00:00,21.9,79,18.4,462.0,811.6
2016-07-03 15:00:00,22.8,74,18.4,434.0,811.7
2016-07-03 16:00:00,23.0,73,19.5,489.0,811.0
2016-07-03 17:00:00,22.8,73,20.7,362.0,810.4
2016-07-03 18:00:00,22.4,73,18.8,196.0,809.8
2016-07-03 19:00:00,22.1,75,13.3,144.0,810.3
2016-07-03 20:00:00,21.3,78,11.5,36.0,810.8
2016-07-03 21:00:00,20.7,81,9.7,0.0,810.8
2016-07-03 22:00:00,20.0,85,9.5,0.0,810.8
2016-07-03 23:00:00,19.7,87,10.5,0.0,811.1
2016-07-04 00:00:00,19.4,88,11.3,0.0,811.0
2016-07-04 01:00:00,19.1,89,10.8,0.0,810.6
2016-07-04 02:00:00,18.8,90,10.5,0.0,810.3
2016-07-04 03:00:00,18.8,89,9.7,0.0,810.0
2016-07-04 04:00:00,18.5,91,9.0,0.0,809.8
2016-07-04 05:00:00,18.3,92,8.7,0.0,809.4
2016-07-04 06:00:00,18.0,94,9.4,0.0,809.6
2016-07-04 07:00:00,17.9,95,9.7,10.0,809.4
2016-07-04 08:00:00,18.4,92,13.0,102.0,810.3
2016-07-04 09:00:00,19.6,83,17.3,251.0,810.6
2016-07-04 10:00:00,20.7,77,19.8,375.0,811.2
2016-07-04 11:00:00,21.8,72,19.1,500.0,811.8
2016-07-04 12:00:00,22.5,69,18.1,519.0,811.8
2016-07-04 13:00:00,23.2,67,16.6,640.0,811.5
2016-07-04 14:00:00,23.5,67,16.6,658.0,811.1
2016-07-04 15:00:00,24.1,65,15.8,717.0,810.7
2016-07-04 16:00:00,24.5,65,15.5,715.0,810.4
2016-07-04 17:00:00,24.4,67,15.1,543.0,809.2
2016-07-04 18:00:00,23.0,72,9.1,319.0,808.3
2016-07-04 19:00:00,22.2,77,6.1,137.0,809.4
2016-07-04 20:00:00,21.2,84,5.1,24.0,809.9
2016-07-04 21:00:00,19.5,97,5.2,0.0,809.5
2016-07-04 22:00:00,19.2,95,2.3,0.0,810.2
2016-07-04 23:00:00,18.4,99,4.3,0.0,810.6
2016-07-05 00:00:00,18.5,98,2.9,0.0,810.9
2016-07-05 01:00:00,18.3,98,3.0,0.0,810.4
2016-07-05 02:00:00,18.6,95,0.5,0.0,810.2
2016-07-05 03:00:00,18.2,95,1.0,0.0,809.7
2016-07-05 04:00:00,18.0,96,2.2,0.0,809.1
2016-07-05 05:00:00,18.0,95,1.8,0.0,809.0
2016-07-05 06:00:00,18.2,95,2.1,0.0,809.8
2016-07-05 07:00:00,18.1,96,3.1,6.0,809.6
2016-07-05 08:00:00,18.7,93,4.3,83.0,810.7
2016-07-05 09:00:00,19.9,87,3.9,218.0,811.4
2016-07-05 10:00:00,21.2,79,2.5,399.0,812.1
2016-07-05 11:00:00,22.1,74,3.3,486.0,812.4
2016-07-05 12:00:00,22.8,74,5.6,551.0,812.6
2016-07-05 13:00:00,23.5,75,7.8,613.0,812.8
2016-07-05 14:00:00,23.4,76,10.8,406.0,811.9
2016-07-05 15:00:00,23.3,77,11.5,447.0,810.9
2016-07-05 16:00:00,21.7,82,7.9,196.0,810.4
2016-07-05 17:00:00,21.9,82,7.6,240.0,810.1
2016-07-05 18:00:00,21.5,82,5.0,187.0,808.9
2016-07-05 19:00:00,20.5,86,5.6,93.0,808.6
2016-07-05 20:00:00,19.9,91,3.7,18.0,809.7
2016-07-05 21:00:00,18.8,98,6.9,0.0,809.9
2016-07-05 22:00:00,18.8,98,8.7,0.0,811.0
2016-07-05 23:00:00,18.6,98,9.2,0.0,811.5
2016-07-06 00:00:00,18.5,98,8.2,0.0,811.7
2016-07-06 01:00:00,18.4,98,7.1,0.0,811.4
2016-07-06 02:00:00,18.4,98,7.4,0.0,811.1
2016-07-06 03:00:00,18.4,99,6.2,0.0,810.8
2016-07-06 04:00:00,18.4,99,6.2,0.0,810.5
2016-07-06 05:00:00,18.4,99,6.9,0.0,810.5
2016-07-06 06:00:00,18.4,99,6.9,0.0,810.9
2016-07-06 07:00:00,18.2,99,8.7,1.0,810.7
2016-07-06 08:00:00,18.5,97,9.7,18.0,811.5
2016-07-06 09:00:00,18.5,96,8.8,55.0,811.9
2016-07-06 10:00:00,19.0,92,8.7,117.0,812.6
2016-07-06 11:00:00,19.7,86,8.0,177.0,812.9
2016-07-06 12:00:00,20.5,81,9.4,191.0,813.0
2016-07-06 13:00:00,21.0,78,11.9,287.0,812.8
2016-07-06 14:00:00,21.4,78,13.9,345.0,812.5
