date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,24.9,23,6.6,0.0,846.2
2016-07-01 01:00:00,23.3,26,7.9,0.0,845.3
2016-07-01 02:00:00,22.0,30,8.4,0.0,844.6
2016-07-01 03:00:00,20.5,32,8.0,0.0,844.1
2016-07-01 04:00:00,19.8,36,7.3,0.0,843.6
2016-07-01 05:00:00,19.3,38,6.1,0.0,843.7
2016-07-01 06:00:00,18.8,41,6.5,0.0,845.2
2016-07-01 07:00:00,19.4,42,3.8,58.0,845.5
2016-07-01 08:00:00,22.0,32,5.4,202.0,847.2
2016-07-01 09:00:00,25.0,22,10.1,374.0,848.7
2016-07-01 10:00:00,26.3,20,12.7,518.0,849.1
2016-07-01 11:00:00,27.1,18,10.1,619.0,849.2
2016-07-01 12:00:00,28.1,17,7.2,749.0,848.9
2016-07-01 13:00:00,29.5,15,4.3,857.0,848.8
2016-07-01 14:00:00,30.5,14,2.8,900.0,847.8
2016-07-01 15:00:00,30.4,15,0.4,914.0,847.0
2016-07-01 16:00:00,30.6,15,2.6,793.0,846.5
2016-07-01 17:00:00,30.7,15,0.7,629.0,845.9
2016-07-01 18:00:00,30.6,15,7.5,428.0,846.9
2016-07-01 19:00:00,30.2,15,8.3,251.0,847.8
2016-07-01 20:00:00,29.5,16,7.3,76.0,847.4
2016-07-01 21:00:00,28.7,18,6.9,3.0,847.6
2016-07-01 22:00:00,27.5,20,7.9,0.0,847.6
2016-07-01 23:00:00,25.4,28,7.8,0.0,846.6
2016-07-02 00:00:00,23.3,32,7.6,0.0,845.5
2016-07-02 01:00:00,21.8,37,8.0,0.0,844.4
2016-07-02 02:00:00,20.6,42,7.9,0.0,843.6
2016-07-02 03:00:00,18.8,44,7.1,0.0,842.6
2016-07-02 04:00:00,18.2,47,6.3,0.0,842.2
2016-07-02 05:00:00,17.7,50,6.3,0.0,842.3
2016-07-02 06:00:00,17.4,53,5.9,0.0,842.7
2016-07-02 07:00:00,18.5,52,5.4,60.0,843.7
2016-07-02 08:00:00,21.4,45,3.2,232.0,845.4
2016-07-02 09:00:00,24.5,31,2.2,436.0,846.2
2016-07-02 10:00:00,26.7,27,2.2,634.0,846.7
2016-07-02 11:00:00,28.8,23,0.8,803.0,846.7
2016-07-02 12:00:00,30.5,21,2.3,927.0,846.2
2016-07-02 13:00:00,32.0,18,2.6,1002.0,845.5
2016-07-02 14:00:00,33.2,15,2.7,1007.0,844.7
2016-07-02 15:00:00,33.9,13,2.8,929.0,843.9
2016-07-02 16:00:00,34.5,12,3.2,829.0,843.0
2016-07-02 17:00:00,34.7,12,3.0,675.0,842.4
2016-07-02 18:00:00,34.5,12,4.7,477.0,842.5
2016-07-02 19:00:00,33.8,12,6.4,244.0,843.3
2016-07-02 20:00:00,32.5,14,7.3,83.0,843.2
2016-07-02 21:00:00,30.5,18,8.4,4.0,842.9
2016-07-02 22:00:00,28.6,23,9.4,0.0,843.2
2016-07-02 23:00:00,27.2,29,9.4,0.0,843.1
2016-07-03 00:00:00,25.6,35,7.7,0.0,842.4
2016-07-03 01:00:00,24.2,41,7.3,0.0,841.7
2016-07-03 02:00:00,22.9,48,7.7,0.0,841.1
2016-07-03 03:00:00,21.5,52,7.8,0.0,840.6
2016-07-03 04:00:00,20.4,58,7.8,0.0,839.8
2016-07-03 05:00:00,19.5,63,7.8,0.0,839.7
2016-07-03 06:00:00,18.7,68,6.9,0.0,841.2
2016-07-03 07:00:00,19.7,65,6.8,59.0,841.8
2016-07-03 08:00:00,23.0,53,5.0,230.0,843.9
2016-07-03 09:00:00,25.6,43,3.3,437.0,844.4
2016-07-03 10:00:00,28.0,35,2.9,630.0,844.8
2016-07-03 11:00:00,30.3,28,3.4,795.0,844.8
2016-07-03 12:00:00,32.4,21,4.3,919.0,844.7
2016-07-03 13:00:00,33.8,17,4.0,970.0,844.1
2016-07-03 14:00:00,34.9,14,2.6,984.0,843.6
2016-07-03 15:00:00,35.1,13,2.0,931.0,842.5
2016-07-03 16:00:00,35.5,12,3.1,811.0,842.0
2016-07-03 17:00:00,35.5,12,3.6,665.0,841.3
2016-07-03 18:00:00,35.1,12,3.6,460.0,840.7
2016-07-03 19:00:00,34.4,13,7.3,254.0,840.7
2016-07-03 20:00:00,32.8,15,12.8,90.0,840.6
2016-07-03 21:00:00,30.3,20,17.1,4.0,840.3
2016-07-03 22:00:00,28.4,25,17.7,0.0,840.7
2016-07-03 23:00:00,26.8,31,13.3,0.0,840.6
2016-07-04 00:00:00,25.5,37,10.3,0.0,840.6
2016-07-04 01:00:00,24.2,44,10.5,0.0,840.2
2016-07-04 02:00:00,23.0,50,10.7,0.0,840.1
2016-07-04 03:00:00,22.0,58,10.5,0.0,840.0
2016-07-04 04:00:00,20.7,65,7.8,0.0,839.7
2016-07-04 05:00:00,20.6,66,5.4,0.0,840.0
2016-07-04 06:00:00,20.2,69,5.3,0.0,841.4
2016-07-04 07:00:00,20.4,68,4.4,57.0,841.8
2016-07-04 08:00:00,22.5,60,0.8,222.0,842.6
2016-07-04 09:00:00,24.6,52,2.3,428.0,843.3
2016-07-04 10:00:00,26.9,43,3.3,623.0,843.2
2016-07-04 11:00:00,29.5,35,3.6,790.0,843.7
2016-07-04 12:00:00,31.9,28,4.4,914.0,843.6
2016-07-04 13:00:00,34.0,22,5.6,984.0,843.6
2016-07-04 14:00:00,35.1,17,5.8,922.0,842.8
2016-07-04 15:00:00,35.3,15,6.4,832.0,842.5
2016-07-04 16:00:00,35.7,15,8.3,758.0,842.2
2016-07-04 17:00:00,35.7,14,12.4,592.0,841.8
2016-07-04 18:00:00,34.9,15,14.6,463.0,841.0
2016-07-04 19:00:00,33.6,18,19.0,260.0,841.1
2016-07-04 20:00:00,31.7,22,20.3,86.0,841.0
2016-07-04 21:00:00,29.6,28,20.4,4.0,841.0
2016-07-04 22:00:00,28.0,34,18.1,0.0,841.8
2016-07-04 23:00:00,26.5,40,16.1,0.0,841.9
2016-07-05 00:00:00,25.3,45,14.5,0.0,841.9
2016-07-05 01:00:00,24.2,49,12.5,0.0,841.9
2016-07-05 02:00:00,23.1,54,10.7,0.0,841.5
2016-07-05 03:00:00,22.5,57,10.5,0.0,841.4
2016-07-05 04:00:00,21.4,63,9.2,0.0,840.9
2016-07-05 05:00:00,20.4,68,8.2,0.0,840.8
2016-07-05 06:00:00,19.6,73,5.8,0.0,842.5
2016-07-05 07:00:00,20.0,72,7.4,50.0,843.0
2016-07-05 08:00:00,21.8,66,8.4,187.0,844.0
2016-07-05 09:00:00,23.8,56,7.6,384.0,844.7
2016-07-05 10:00:00,26.2,46,7.0,590.0,844.8
2016-07-05 11:00:00,28.6,38,7.9,754.0,845.4
2016-07-05 12:00:00,30.7,31,10.2,851.0,845.4
2016-07-05 13:00:00,32.3,27,12.2,889.0,844.8
2016-07-05 14:00:00,33.4,24,14.5,834.0,843.9
2016-07-05 15:00:00,34.2,21,16.8,853.0,843.4
2016-07-05 16:00:00,34.4,22,19.6,784.0,842.9
2016-07-05 17:00:00,33.6,24,22.1,630.0,842.4
2016-07-05 18:00:00,32.2,28,21.9,465.0,841.7
2016-07-05 19:00:00,30.2,34,24.2,222.0,841.6
2016-07-05 20:00:00,27.9,43,23.0,93.0,841.6
2016-07-05 21:00:00,25.9,49,21.8,4.0,842.1
2016-07-05 22:00:00,24.7,53,19.9,0.0,842.6
2016-07-05 23:00:00,23.6,57,18.3,0.0,843.0
2016-07-06 00:00:00,22.6,61,16.8,0.0,842.8
2016-07-06 01:00:00,21.9,64,14.3,0.0,842.7
2016-07-06 02:00:00,21.3,67,11.5,0.0,842.6
2016-07-06 03:00:00,20.9,69,8.9,0.0,842.6
2016-07-06 04:00:00,20.2,73,7.7,0.0,842.4
2016-07-06 05:00:00,19.6,76,7.4,0.0,842.2
2016-07-06 06:00:00,19.4,77,4.4,0.0,843.5
2016-07-06 07:00:00,19.9,75,4.8,51.0,843.3
2016-07-06 08:00:00,21.9,65,3.9,201.0,844.3
2016-07-06 09:00:00,23.9,58,3.2,371.0,844.7
2016-07-06 10:00:00,25.9,51,3.7,550.0,844.8
2016-07-06 11:00:00,28.2,44,4.3,771.0,845.0
2016-07-06 12:00:00,30.4,38,3.9,870.0,845.2
2016-07-06 13:00:00,32.4,33,6.0,916.0,845.1
2016-07-06 14:00:00,33.8,29,10.6,919.0,844.5
2016-07-06 15:00:00,34.2,28,13.3,849.0,844.0
2016-07-06 16:00:00,33.9,28,15.3,577.0,843.4
2016-07-06 17:00:00,33.6,29,15.8,526.0,842.7
2016-07-06 18:00:00,32.7,31,18.4,377.0,842.4
2016-07-06 19:00:00,31.1,35,18.3,195.0,842.4
2016-07-06 20:00:00,28.8,41,18.3,67.0,841.8
2016-07-06 21:00:00,26.7,47,18.8,3.0,842.0
