date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure,precipitation,cloud_cover,dew_point_2m
2016-07-01 00:00:00,26.7,86,13.4,0.0,1003.3,0.0,100,24.2
2016-07-01 01:00:00,26.3,87,12.1,0.0,1002.6,0.3,100,24.0
2016-07-01 02:00:00,25.7,91,11.5,0.0,1001.8,1.5,100,24.2
2016-07-01 03:00:00,25.4,92,14.1,0.0,1001.2,1.9,100,23.9
2016-07-01 04:00:00,25.5,90,18.0,0.0,1000.8,1.4,100,23.8
2016-07-01 05:00:00,25.5,89,19.6,0.0,1000.0,2.5,100,23.5
2016-07-01 06:00:00,25.5,89,12.7,3.0,1000.2,2.5,100,23.5
2016-07-01 07:00:00,25.5,90,14.3,16.0,1000.5,2.7,100,23.6
2016-07-01 08:00:00,25.7,89,16.2,28.0,1000.6,2.1,100,23.7
2016-07-01 09:00:00,25.9,90,18.3,65.0,1000.9,1.8,100,24.1
2016-07-01 10:00:00,26.2,89,19.3,112.0,1001.3,2.0,100,24.2
2016-07-01 11:00:00,26.2,89,16.6,112.0,1001.9,2.5,100,24.3
2016-07-01 12:00:00,26.3,89,12.3,106.0,1001.8,1.6,100,24.4
2016-07-01 13:00:00,26.7,88,8.3,162.0,1001.5,1.6,100,24.6
2016-07-01 14:00:00,26.7,88,5.0,110.0,1001.4,1.9,100,24.5
2016-07-01 15:00:00,25.3,92,3.9,99.0,1001.0,4.9,100,23.8
2016-07-01 16:00:00,25.1,94,5.7,47.0,1000.8,4.8,100,24.0
2016-07-01 17:00:00,25.1,94,10.9,38.0,1000.7,3.6,100,24.1
2016-07-01 18:00:00,25.0,95,3.1,27.0,1001.9,3.2,100,24.2
2016-07-01 19:00:00,24.8,95,4.2,8.0,1002.4,2.6,100,24.0
2016-07-01 20:00:00,24.6,96,3.7,0.0,1002.5,1.9,100,24.0
2016-07-01 21:00:00,24.7,95,5.3,0.0,1002.5,2.0,100,23.9
2016-07-01 22:00:00,24.3,97,3.5,0.0,1002.9,3.2,100,23.8
2016-07-01 23:00:00,24.4,97,5.0,0.0,1002.4,5.1,100,23.9
2016-07-02 00:00:00,24.5,97,3.3,0.0,1002.2,6.7,100,23.9
2016-07-02 01:00:00,24.5,96,0.8,0.0,1002.4,5.3,100,23.9
2016-07-02 02:00:00,24.7,95,4.0,0.0,1002.5,6.8,100,23.9
2016-07-02 03:00:00,22.8,97,3.3,0.0,1002.5,0.7,100,22.3
2016-07-02 04:00:00,22.7,97,3.1,0.0,1002.8,0.6,100,22.2
2016-07-02 05:00:00,22.5,97,2.6,0.0,1002.9,1.2,100,22.1
2016-07-02 06:00:00,22.5,98,2.6,5.0,1004.0,2.0,100,22.1
2016-07-02 07:00:00,22.8,97,5.6,22.0,1004.6,3.3,100,22.3
2016-07-02 08:00:00,23.1,96,7.6,31.0,1004.5,3.3,100,22.4
2016-07-02 09:00:00,23.4,96,7.8,62.0,1005.0,3.8,100,22.7
2016-07-02 10:00:00,23.8,94,9.0,82.0,1005.2,5.3,100,22.8
2016-07-02 11:00:00,23.7,93,9.9,54.0,1005.2,7.8,100,22.4
2016-07-02 12:00:00,23.4,93,10.9,35.0,1005.0,10.3,100,22.2
2016-07-02 13:00:00,23.2,93,8.8,34.0,1004.8,12.8,100,22.0
2016-07-02 14:00:00,23.2,93,7.3,30.0,1004.3,15.1,100,22.0
2016-07-02 15:00:00,23.3,94,8.3,44.0,1004.2,6.8,100,22.3
2016-07-02 16:00:00,23.2,95,8.3,40.0,1003.6,1.8,100,22.4
2016-07-02 17:00:00,23.3,96,6.8,31.0,1003.5,0.7,100,22.5
2016-07-02 18:00:00,23.3,96,6.2,23.0,1004.6,0.3,100,22.7
2016-07-02 19:00:00,23.2,97,7.4,8.0,1004.5,0.1,100,22.7
2016-07-02 20:00:00,23.2,98,9.2,0.0,1004.6,0.1,100,22.8
2016-07-02 21:00:00,23.2,98,7.9,0.0,1004.5,0.2,100,22.8
2016-07-02 22:00:00,23.1,98,4.5,0.0,1004.8,0.8,100,22.8
2016-07-02 23:00:00,23.1,99,5.4,0.0,1004.6,1.6,100,22.9
2016-07-03 00:00:00,23.1,99,7.8,0.0,1003.7,1.6,100,22.9
2016-07-03 01:00:00,23.2,98,5.1,0.0,1003.4,2.3,100,23.0
2016-07-03 02:00:00,23.4,98,7.1,0.0,1002.6,3.1,100,23.1
2016-07-03 03:00:00,23.0,98,7.9,0.0,1002.1,11.2,100,22.6
2016-07-03 04:00:00,23.1,97,7.7,0.0,1001.5,12.9,100,22.6
2016-07-03 05:00:00,23.1,97,2.9,0.0,1001.7,12.9,100,22.6
2016-07-03 06:00:00,23.1,98,7.3,2.0,1002.9,8.7,100,22.7
2016-07-03 07:00:00,23.3,97,6.5,8.0,1003.1,2.9,100,22.9
2016-07-03 08:00:00,23.4,98,6.8,30.0,1003.0,1.0,100,23.0
2016-07-03 09:00:00,23.8,97,5.9,95.0,1003.1,0.7,100,23.3
2016-07-03 10:00:00,23.7,98,6.3,87.0,1003.3,1.7,100,23.3
2016-07-03 11:00:00,23.5,97,4.0,45.0,1003.1,2.3,100,23.0
2016-07-03 12:00:00,23.5,96,2.1,53.0,1003.4,2.0,100,22.7
2016-07-03 13:00:00,23.4,94,2.8,63.0,1003.1,1.3,97,22.3
2016-07-03 14:00:00,23.7,90,4.7,123.0,1002.9,1.1,99,22.0
2016-07-03 15:00:00,25.1,91,4.9,202.0,1002.9,0.4,100,23.5
2016-07-03 16:00:00,24.6,93,4.3,110.0,1002.5,1.2,100,23.4
2016-07-03 17:00:00,24.3,96,1.5,65.0,1002.7,2.4,100,23.5
2016-07-03 18:00:00,23.7,97,5.4,30.0,1003.0,3.1,100,23.2
2016-07-03 19:00:00,23.3,98,8.4,8.0,1003.4,3.1,99,22.9
2016-07-03 20:00:00,22.8,98,10.0,0.0,1003.3,4.2,100,22.5
2016-07-03 21:00:00,22.6,98,12.0,0.0,1003.8,4.4,100,22.3
2016-07-03 22:00:00,22.5,98,12.9,0.0,1003.6,4.1,100,22.3
2016-07-03 23:00:00,22.5,98,12.7,0.0,1003.3,3.2,100,22.3
2016-07-04 00:00:00,22.7,98,10.4,0.0,1002.5,2.6,100,22.4
2016-07-04 01:00:00,22.9,98,6.4,0.0,1002.3,1.3,100,22.5
2016-07-04 02:00:00,22.9,98,5.4,0.0,1001.9,0.7,100,22.6
2016-07-04 03:00:00,22.8,98,4.8,0.0,1001.7,0.9,100,22.4
2016-07-04 04:00:00,23.1,97,3.1,0.0,1001.6,2.0,100,22.6
2016-07-04 05:00:00,22.7,98,2.6,0.0,1001.8,3.0,100,22.5
2016-07-04 06:00:00,22.7,98,5.4,4.0,1002.9,3.3,100,22.4
2016-07-04 07:00:00,22.5,98,7.4,15.0,1002.8,3.2,100,22.3
2016-07-04 08:00:00,22.6,98,8.4,41.0,1002.5,2.2,100,22.3
2016-07-04 09:00:00,22.8,98,9.1,55.0,1002.6,2.4,100,22.5
2016-07-04 10:00:00,23.0,97,8.6,50.0,1002.8,2.7,100,22.6
2016-07-04 11:00:00,23.5,97,8.3,43.0,1002.7,2.5,100,22.9
2016-07-04 12:00:00,24.5,95,7.1,58.0,1002.8,1.9,100,23.6
2016-07-04 13:00:00,26.1,91,6.8,113.0,1002.1,1.3,100,24.4
2016-07-04 14:00:00,27.1,89,7.4,216.0,1002.2,0.7,100,25.1
2016-07-04 15:00:00,26.4,91,10.0,158.0,1001.9,1.1,100,24.7
2016-07-04 16:00:00,25.5,93,6.9,94.0,1002.0,1.7,100,24.3
2016-07-04 17:00:00,24.8,96,6.5,70.0,1001.9,0.9,100,24.1
2016-07-04 18:00:00,24.4,96,6.2,56.0,1002.7,0.4,100,23.8
2016-07-04 19:00:00,24.0,98,6.7,25.0,1003.3,0.1,100,23.6
2016-07-04 20:00:00,23.6,99,7.1,0.0,1003.8,0.1,100,23.4
2016-07-04 21:00:00,23.5,99,7.3,0.0,1004.5,0.3,100,23.3
2016-07-04 22:00:00,23.7,98,7.8,0.0,1004.0,1.1,100,23.3
2016-07-04 23:00:00,23.8,98,8.0,0.0,1004.1,4.4,100,23.4
2016-07-05 00:00:00,24.1,97,4.3,0.0,1003.8,9.3,100,23.6
2016-07-05 01:00:00,24.2,96,3.3,0.0,1003.6,15.3,100,23.6
2016-07-05 02:00:00,24.3,96,3.4,0.0,1003.5,13.0,100,23.6
2016-07-05 03:00:00,23.1,98,3.6,0.0,1003.9,11.0,100,22.8
2016-07-05 04:00:00,23.0,98,6.4,0.0,1004.5,16.4,100,22.7
2016-07-05 05:00:00,22.9,99,3.4,0.0,1004.4,17.1,100,22.7
2016-07-05 06:00:00,23.0,98,6.1,2.0,1005.2,12.4,100,22.7
2016-07-05 07:00:00,23.2,97,5.2,5.0,1006.0,4.1,100,22.7
2016-07-05 08:00:00,23.8,95,5.0,49.0,1006.7,0.6,100,23.0
2016-07-05 09:00:00,24.4,93,6.7,116.0,1007.0,0.0,100,23.2
2016-07-05 10:00:00,25.5,87,9.4,252.0,1007.4,0.0,100,23.3
2016-07-05 11:00:00,26.6,83,9.4,278.0,1008.1,0.0,100,23.4
2016-07-05 12:00:00,27.2,80,8.0,259.0,1008.4,0.0,100,23.5
2016-07-05 13:00:00,27.6,80,5.2,270.0,1007.9,0.2,100,23.7
2016-07-05 14:00:00,27.8,79,4.3,271.0,1007.9,0.5,100,23.8
2016-07-05 15:00:00,26.5,83,4.4,150.0,1007.5,1.0,100,23.3
2016-07-05 16:00:00,26.4,84,2.6,114.0,1007.6,1.1,100,23.5
2016-07-05 17:00:00,26.3,85,0.8,123.0,1007.4,0.7,100,23.6
2016-07-05 18:00:00,25.8,91,1.3,51.0,1008.2,0.3,100,24.2
2016-07-05 19:00:00,25.3,93,3.8,14.0,1008.2,0.2,100,24.1
2016-07-05 20:00:00,24.7,95,5.1,0.0,1009.1,0.2,100,23.9
