date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,27.0,86,12.0,0.0,1006.1
2016-07-01 01:00:00,26.8,87,13.8,0.0,1005.5
2016-07-01 02:00:00,26.6,88,14.3,0.0,1005.1
2016-07-01 03:00:00,26.8,86,13.6,0.0,1004.8
2016-07-01 04:00:00,26.7,87,13.0,0.0,1004.5
2016-07-01 05:00:00,26.5,88,12.9,0.0,1004.6
2016-07-01 06:00:00,26.3,90,7.4,5.0,1004.4
2016-07-01 07:00:00,26.6,91,9.3,49.0,1004.4
2016-07-01 08:00:00,26.8,90,13.1,73.0,1004.5
2016-07-01 09:00:00,27.3,89,15.2,128.0,1004.7
2016-07-01 10:00:00,27.9,87,16.8,202.0,1004.6
2016-07-01 11:00:00,28.1,86,18.1,195.0,1004.4
2016-07-01 12:00:00,28.6,84,18.4,240.0,1004.0
2016-07-01 13:00:00,29.9,79,19.5,397.0,1003.4
2016-07-01 14:00:00,30.9,75,19.5,503.0,1003.1
2016-07-01 15:00:00,30.9,76,16.2,336.0,1002.8
2016-07-01 16:00:00,30.8,78,13.6,327.0,1002.7
2016-07-01 17:00:00,30.0,81,10.9,171.0,1003.0
2016-07-01 18:00:00,29.5,82,10.3,83.0,1002.4
2016-07-01 19:00:00,28.7,84,9.2,18.0,1003.1
2016-07-01 20:00:00,28.0,87,8.8,0.0,1004.0
2016-07-01 21:00:00,27.5,89,7.6,0.0,1004.4
2016-07-01 22:00:00,27.3,90,6.0,0.0,1004.9
2016-07-01 23:00:00,27.0,91,5.5,0.0,1004.7
2016-07-02 00:00:00,26.8,92,3.9,0.0,1004.1
2016-07-02 01:00:00,26.5,93,7.6,0.0,1003.2
2016-07-02 02:00:00,26.4,93,9.1,0.0,1002.7
2016-07-02 03:00:00,26.0,92,11.2,0.0,1002.3
2016-07-02 04:00:00,26.1,91,13.1,0.0,1002.4
2016-07-02 05:00:00,26.2,91,15.9,0.0,1003.0
2016-07-02 06:00:00,26.3,91,10.1,9.0,1003.9
2016-07-02 07:00:00,26.3,91,10.5,44.0,1005.2
2016-07-02 08:00:00,26.2,90,9.5,115.0,1005.9
2016-07-02 09:00:00,26.8,86,10.0,241.0,1006.5
2016-07-02 10:00:00,28.0,81,8.1,496.0,1006.9
2016-07-02 11:00:00,29.0,78,6.7,597.0,1007.0
2016-07-02 12:00:00,29.3,77,5.1,444.0,1006.7
2016-07-02 13:00:00,30.3,74,5.8,683.0,1006.5
