date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,19.6,99,8.6,0.0,997.3
2016-07-01 01:00:00,19.9,98,6.5,0.0,996.7
2016-07-01 02:00:00,19.8,98,6.6,0.0,997.5
2016-07-01 03:00:00,19.3,98,5.3,0.0,997.6
2016-07-01 04:00:00,19.1,98,4.1,0.0,997.8
2016-07-01 05:00:00,18.9,98,5.0,6.0,997.7
2016-07-01 06:00:00,19.2,97,7.7,58.0,998.2
2016-07-01 07:00:00,19.8,92,8.3,158.0,998.3
2016-07-01 08:00:00,21.0,83,6.6,335.0,998.7
2016-07-01 09:00:00,22.1,76,8.0,426.0,998.2
2016-07-01 10:00:00,23.1,70,8.1,486.0,998.0
2016-07-01 11:00:00,23.7,67,7.2,421.0,997.7
2016-07-01 12:00:00,24.3,64,7.2,459.0,997.2
2016-07-01 13:00:00,24.6,61,8.4,383.0,996.7
2016-07-01 14:00:00,24.8,60,10.2,378.0,996.2
2016-07-01 15:00:00,25.6,57,12.7,431.0,995.6
2016-07-01 16:00:00,25.5,58,13.4,427.0,995.1
2016-07-01 17:00:00,25.2,60,11.7,318.0,995.1
2016-07-01 18:00:00,24.5,66,9.8,171.0,995.1
2016-07-01 19:00:00,23.0,72,8.6,61.0,995.2
2016-07-01 20:00:00,21.6,75,9.1,3.0,995.1
2016-07-01 21:00:00,20.8,76,8.8,0.0,995.5
2016-07-01 22:00:00,20.0,77,9.2,0.0,995.1
2016-07-01 23:00:00,19.4,78,9.5,0.0,995.1
2016-07-02 00:00:00,18.7,80,9.1,0.0,995.0
2016-07-02 01:00:00,18.4,82,8.2,0.0,994.7
2016-07-02 02:00:00,17.6,87,6.6,0.0,994.9
2016-07-02 03:00:00,17.5,89,5.8,0.0,994.7
2016-07-02 04:00:00,17.0,92,4.7,0.0,995.3
2016-07-02 05:00:00,17.2,93,3.8,11.0,995.8
2016-07-02 06:00:00,18.6,87,6.3,80.0,996.0
2016-07-02 07:00:00,20.0,82,5.4,198.0,996.6
2016-07-02 08:00:00,21.5,78,4.5,356.0,997.1
2016-07-02 09:00:00,23.4,71,5.1,541.0,997.1
2016-07-02 10:00:00,24.7,62,7.6,628.0,997.4
2016-07-02 11:00:00,26.0,52,9.1,823.0,997.4
2016-07-02 12:00:00,26.9,47,9.6,855.0,997.3
2016-07-02 13:00:00,27.5,44,9.5,872.0,997.1
2016-07-02 14:00:00,27.8,42,9.1,762.0,997.0
2016-07-02 15:00:00,28.0,40,7.8,708.0,996.9
2016-07-02 16:00:00,28.0,40,5.8,571.0,996.7
2016-07-02 17:00:00,27.7,43,5.2,396.0,997.1
2016-07-02 18:00:00,27.0,52,2.5,218.0,997.9
2016-07-02 19:00:00,25.4,68,5.4,72.0,997.8
2016-07-02 20:00:00,23.1,71,8.0,3.0,997.9
2016-07-02 21:00:00,21.4,73,7.3,0.0,998.8
2016-07-02 22:00:00,20.0,77,7.9,0.0,998.8
2016-07-02 23:00:00,19.3,77,7.9,0.0,999.0
2016-07-03 00:00:00,18.7,78,7.8,0.0,999.3
2016-07-03 01:00:00,18.2,80,8.2,0.0,999.5
2016-07-03 02:00:00,17.8,83,8.6,0.0,1000.1
2016-07-03 03:00:00,17.5,87,8.0,0.0,1000.2
2016-07-03 04:00:00,17.2,89,8.5,0.0,1000.2
2016-07-03 05:00:00,17.4,88,11.0,14.0,1000.4
2016-07-03 06:00:00,19.2,82,13.7,112.0,1000.7
2016-07-03 07:00:00,21.9,74,12.6,273.0,1001.0
2016-07-03 08:00:00,24.4,64,13.0,450.0,1000.9
2016-07-03 09:00:00,26.4,56,13.3,612.0,1001.2
2016-07-03 10:00:00,27.9,51,13.7,747.0,1001.3
2016-07-03 11:00:00,29.0,47,14.2,840.0,1001.1
2016-07-03 12:00:00,29.8,45,13.0,875.0,1000.8
2016-07-03 13:00:00,30.4,42,12.3,881.0,1000.2
2016-07-03 14:00:00,30.8,40,11.6,827.0,999.9
2016-07-03 15:00:00,30.8,40,10.4,713.0,999.6
2016-07-03 16:00:00,30.6,41,9.3,562.0,999.0
2016-07-03 17:00:00,30.0,49,6.6,389.0,999.1
2016-07-03 18:00:00,28.9,57,5.0,215.0,1000.1
2016-07-03 19:00:00,27.1,66,9.4,68.0,999.8
2016-07-03 20:00:00,25.0,72,8.0,3.0,1000.2
2016-07-03 21:00:00,23.3,77,8.2,0.0,1001.1
2016-07-03 22:00:00,22.1,80,8.1,0.0,1001.3
2016-07-03 23:00:00,21.2,83,8.7,0.0,1001.7
2016-07-04 00:00:00,20.5,86,8.3,0.0,1001.7
2016-07-04 01:00:00,20.0,88,8.0,0.0,1001.6
2016-07-04 02:00:00,19.5,90,7.5,0.0,1001.6
2016-07-04 03:00:00,19.3,91,6.6,0.0,1001.5
2016-07-04 04:00:00,18.9,92,6.7,0.0,1001.6
2016-07-04 05:00:00,18.7,93,6.9,13.0,1002.1
2016-07-04 06:00:00,20.2,91,5.8,95.0,1002.5
2016-07-04 07:00:00,23.2,80,3.1,240.0,1002.9
2016-07-04 08:00:00,25.4,69,2.0,427.0,1003.3
2016-07-04 09:00:00,27.0,60,1.5,600.0,1003.4
2016-07-04 10:00:00,28.1,56,1.8,736.0,1003.3
2016-07-04 11:00:00,29.0,53,5.6,820.0,1003.0
2016-07-04 12:00:00,29.3,51,6.6,748.0,1002.6
2016-07-04 13:00:00,29.7,50,7.3,718.0,1002.2
2016-07-04 14:00:00,30.0,49,6.6,714.0,1001.9
2016-07-04 15:00:00,30.3,48,5.6,596.0,1001.5
2016-07-04 16:00:00,30.3,47,4.3,477.0,1000.9
2016-07-04 17:00:00,30.1,50,4.1,262.0,1001.1
2016-07-04 18:00:00,29.4,56,3.7,173.0,1000.8
2016-07-04 19:00:00,28.3,62,4.0,59.0,1001.2
2016-07-04 20:00:00,26.3,78,2.9,2.0,1001.6
2016-07-04 21:00:00,25.2,73,7.0,0.0,1002.3
2016-07-04 22:00:00,24.2,73,7.4,0.0,1002.6
2016-07-04 23:00:00,23.3,74,10.8,0.0,1002.9
2016-07-05 00:00:00,22.4,77,10.4,0.0,1003.0
2016-07-05 01:00:00,21.6,80,9.8,0.0,1003.0
2016-07-05 02:00:00,20.8,83,9.3,0.0,1003.1
2016-07-05 03:00:00,21.0,80,8.5,0.0,1003.0
2016-07-05 04:00:00,20.7,79,8.2,0.0,1003.0
2016-07-05 05:00:00,20.6,78,8.7,9.0,1003.3
2016-07-05 06:00:00,21.4,76,8.9,75.0,1003.4
2016-07-05 07:00:00,22.8,69,8.2,203.0,1003.9
2016-07-05 08:00:00,24.1,64,10.5,382.0,1004.2
2016-07-05 09:00:00,25.5,60,9.9,574.0,1003.9
2016-07-05 10:00:00,26.7,56,9.1,716.0,1004.0
2016-07-05 11:00:00,27.7,53,7.2,824.0,1003.6
2016-07-05 12:00:00,28.5,53,4.8,844.0,1003.2
2016-07-05 13:00:00,29.1,53,2.4,862.0,1002.7
2016-07-05 14:00:00,29.4,52,1.5,740.0,1001.8
2016-07-05 15:00:00,29.8,53,1.5,625.0,1001.6
2016-07-05 16:00:00,29.8,53,1.8,487.0,1001.3
2016-07-05 17:00:00,29.6,53,1.9,316.0,1001.3
2016-07-05 18:00:00,29.2,57,3.3,195.0,1000.8
2016-07-05 19:00:00,28.1,64,6.1,63.0,1001.3
2016-07-05 20:00:00,26.8,69,7.2,3.0,1001.0
2016-07-05 21:00:00,24.6,78,9.7,0.0,1002.2
2016-07-05 22:00:00,23.2,79,13.7,0.0,1002.8
2016-07-05 23:00:00,22.0,78,14.8,0.0,1003.3
2016-07-06 00:00:00,21.1,78,14.5,0.0,1003.8
2016-07-06 01:00:00,20.4,78,13.4,0.0,1004.0
2016-07-06 02:00:00,20.0,79,13.0,0.0,1004.4
2016-07-06 03:00:00,19.8,78,13.0,0.0,1004.7
2016-07-06 04:00:00,19.4,80,12.2,0.0,1005.0
2016-07-06 05:00:00,19.3,82,11.9,12.0,1005.2
2016-07-06 06:00:00,20.2,81,11.9,103.0,1005.4
2016-07-06 07:00:00,21.8,75,13.0,254.0,1006.2
2016-07-06 08:00:00,23.2,71,12.7,425.0,1005.6
2016-07-06 09:00:00,24.6,68,12.1,585.0,1006.0
2016-07-06 10:00:00,25.9,64,11.7,731.0,1006.0
2016-07-06 11:00:00,27.2,62,10.8,827.0,1005.8
2016-07-06 12:00:00,28.2,60,10.5,878.0,1005.4
2016-07-06 13:00:00,29.0,58,10.7,852.0,1005.0
2016-07-06 14:00:00,29.5,57,10.9,782.0,1004.6
2016-07-06 15:00:00,29.6,57,11.2,675.0,1004.3
2016-07-06 16:00:00,29.6,56,11.2,541.0,1003.9
2016-07-06 17:00:00,29.3,58,10.9,375.0,1004.1
2016-07-06 18:00:00,28.4,63,8.9,206.0,1003.8
2016-07-06 19:00:00,26.8,69,9.2,67.0,1004.3
2016-07-06 20:00:00,25.1,73,10.7,3.0,1004.6
2016-07-06 21:00:00,23.9,76,11.3,0.0,1005.4
2016-07-06 22:00:00,22.9,79,11.5,0.0,1005.8
2016-07-06 23:00:00,22.1,82,11.1,0.0,1005.6
2016-07-07 00:00:00,21.5,85,11.2,0.0,1005.7
2016-07-07 01:00:00,20.8,87,10.8,0.0,1005.8
2016-07-07 02:00:00,20.2,87,10.1,0.0,1005.8
2016-07-07 03:00:00,19.9,89,9.8,0.0,1006.0
2016-07-07 04:00:00,19.5,89,9.8,0.0,1005.9
2016-07-07 05:00:00,19.4,87,10.8,12.0,1006.1
2016-07-07 06:00:00,20.6,83,11.2,104.0,1006.6
2016-07-07 07:00:00,22.4,74,12.8,258.0,1006.9
2016-07-07 08:00:00,24.0,68,13.8,431.0,1006.7
2016-07-07 09:00:00,25.5,63,14.2,597.0,1006.7
2016-07-07 10:00:00,26.9,59,13.7,737.0,1006.5
2016-07-07 11:00:00,28.1,56,13.9,836.0,1006.1
2016-07-07 12:00:00,29.1,53,14.8,887.0,1005.6
2016-07-07 13:00:00,29.8,51,15.3,879.0,1005.0
2016-07-07 14:00:00,30.3,49,16.0,810.0,1004.3
2016-07-07 15:00:00,30.0,50,16.0,602.0,1004.3
2016-07-07 16:00:00,29.9,49,15.5,517.0,1003.7
2016-07-07 17:00:00,29.6,52,12.6,381.0,1003.6
2016-07-07 18:00:00,28.5,58,8.8,209.0,1003.4
2016-07-07 19:00:00,26.7,65,8.8,67.0,1003.8
2016-07-07 20:00:00,25.0,70,10.5,2.0,1003.7
2016-07-07 21:00:00,24.0,74,12.6,0.0,1004.6
2016-07-07 22:00:00,23.3,77,13.9,0.0,1005.0
2016-07-07 23:00:00,22.6,80,12.9,0.0,1004.8
2016-07-08 00:00:00,22.1,82,11.7,0.0,1004.5
2016-07-08 01:00:00,21.5,83,10.8,0.0,1004.3
2016-07-08 02:00:00,20.9,85,10.5,0.0,1004.0
2016-07-08 03:00:00,20.7,86,10.2,0.0,1004.1
2016-07-08 04:00:00,20.2,87,10.1,0.0,1004.2
2016-07-08 05:00:00,20.0,87,10.1,11.0,1004.5
2016-07-08 06:00:00,21.0,83,10.2,94.0,1004.6
2016-07-08 07:00:00,22.7,75,10.8,255.0,1004.7
2016-07-08 08:00:00,24.3,69,12.3,431.0,1004.3
2016-07-08 09:00:00,25.6,66,12.8,597.0,1003.9
2016-07-08 10:00:00,26.9,64,12.7,734.0,1003.6
2016-07-08 11:00:00,27.9,59,12.5,786.0,1003.1
2016-07-08 12:00:00,28.8,55,12.4,853.0,1002.5
2016-07-08 13:00:00,29.5,51,12.3,839.0,1001.6
2016-07-08 14:00:00,30.0,49,12.4,806.0,1001.3
2016-07-08 15:00:00,30.0,49,12.6,698.0,1000.4
2016-07-08 16:00:00,30.0,48,12.5,548.0,1000.1
2016-07-08 17:00:00,29.7,51,10.9,381.0,999.8
2016-07-08 18:00:00,28.8,57,6.9,209.0,999.6
2016-07-08 19:00:00,27.4,63,7.4,67.0,999.6
2016-07-08 20:00:00,25.7,69,8.0,2.0,999.6
2016-07-08 21:00:00,24.4,73,6.9,0.0,1000.3
2016-07-08 22:00:00,23.3,78,8.4,0.0,1000.6
2016-07-08 23:00:00,22.5,83,9.7,0.0,1000.6
2016-07-09 00:00:00,22.0,88,9.8,0.0,1000.6
2016-07-09 01:00:00,21.7,91,9.7,0.0,1000.2
2016-07-09 02:00:00,21.3,94,9.2,0.0,1000.1
2016-07-09 03:00:00,21.0,95,8.3,0.0,999.9
2016-07-09 04:00:00,20.8,96,8.7,0.0,1000.3
2016-07-09 05:00:00,20.7,96,10.1,10.0,1000.2
2016-07-09 06:00:00,21.7,93,10.1,91.0,1000.4
2016-07-09 07:00:00,23.3,86,11.4,238.0,1000.4
2016-07-09 08:00:00,25.0,78,12.4,404.0,1000.4
2016-07-09 09:00:00,26.5,71,13.7,571.0,999.7
2016-07-09 10:00:00,28.0,65,14.1,714.0,999.7
2016-07-09 11:00:00,29.2,61,13.1,815.0,999.2
2016-07-09 12:00:00,30.2,58,12.0,862.0,998.7
2016-07-09 13:00:00,31.0,55,10.2,840.0,998.0
2016-07-09 14:00:00,31.5,52,9.4,740.0,997.5
2016-07-09 15:00:00,30.8,53,9.7,472.0,997.2
2016-07-09 16:00:00,30.9,53,10.2,449.0,996.7
2016-07-09 17:00:00,30.4,57,9.2,271.0,996.7
2016-07-09 18:00:00,29.7,63,7.1,172.0,996.7
2016-07-09 19:00:00,28.4,69,7.2,53.0,997.3
2016-07-09 20:00:00,26.8,75,8.1,2.0,997.5
2016-07-09 21:00:00,25.6,81,9.3,0.0,997.9
2016-07-09 22:00:00,24.8,85,10.8,0.0,997.8
2016-07-09 23:00:00,24.1,89,11.1,0.0,998.1
2016-07-10 00:00:00,23.5,91,9.4,0.0,997.8
2016-07-10 01:00:00,23.0,93,7.2,0.0,997.9
2016-07-10 02:00:00,22.6,94,7.0,0.0,997.6
2016-07-10 03:00:00,22.2,94,7.5,0.0,998.1
2016-07-10 04:00:00,22.0,94,7.8,0.0,997.8
2016-07-10 05:00:00,21.9,94,8.0,10.0,997.7
2016-07-10 06:00:00,23.2,90,7.3,93.0,998.1
2016-07-10 07:00:00,25.2,81,7.6,239.0,997.8
2016-07-10 08:00:00,26.7,74,10.8,407.0,997.9
2016-07-10 09:00:00,28.1,68,11.9,571.0,997.9
2016-07-10 10:00:00,29.4,63,11.9,708.0,997.5
2016-07-10 11:00:00,30.6,59,11.9,799.0,997.2
2016-07-10 12:00:00,31.6,55,10.8,851.0,996.5
2016-07-10 13:00:00,32.3,53,9.9,793.0,995.7
2016-07-10 14:00:00,32.8,51,10.2,735.0,995.1
2016-07-10 15:00:00,32.8,48,12.3,576.0,994.5
2016-07-10 16:00:00,32.8,49,13.3,525.0,994.0
2016-07-10 17:00:00,32.3,53,11.8,372.0,993.9
2016-07-10 18:00:00,31.2,60,9.2,202.0,994.9
2016-07-10 19:00:00,29.7,66,7.1,64.0,994.9
2016-07-10 20:00:00,28.2,72,8.9,2.0,995.5
2016-07-10 21:00:00,27.2,76,11.1,0.0,995.9
2016-07-10 22:00:00,26.3,79,11.3,0.0,995.7
2016-07-10 23:00:00,25.6,82,11.2,0.0,995.8
2016-07-11 00:00:00,24.9,84,11.4,0.0,995.6
2016-07-11 01:00:00,24.4,86,12.4,0.0,995.7
