date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,21.0,48,11.9,0.0,913.3
2016-07-01 01:00:00,20.1,51,12.3,0.0,912.9
2016-07-01 02:00:00,19.6,51,13.0,0.0,912.6
2016-07-01 03:00:00,19.7,47,13.0,0.0,912.2
2016-07-01 04:00:00,19.6,46,13.3,0.0,912.1
2016-07-01 05:00:00,19.3,46,13.3,0.0,911.7
2016-07-01 06:00:00,19.1,46,11.3,0.0,912.0
2016-07-01 07:00:00,18.9,51,12.0,4.0,912.2
2016-07-01 08:00:00,20.0,53,11.2,84.0,913.2
2016-07-01 09:00:00,23.9,52,7.8,240.0,914.2
2016-07-01 10:00:00,27.0,31,4.2,418.0,914.9
2016-07-01 11:00:00,28.1,29,3.2,597.0,914.7
2016-07-01 12:00:00,29.1,28,2.3,748.0,913.9
2016-07-01 13:00:00,30.1,27,4.2,850.0,913.6
2016-07-01 14:00:00,30.9,26,7.1,839.0,912.8
2016-07-01 15:00:00,31.6,25,7.9,741.0,912.4
2016-07-01 16:00:00,31.3,25,8.0,502.0,912.1
2016-07-01 17:00:00,30.5,27,11.3,427.0,911.3
2016-07-01 18:00:00,28.8,33,11.0,203.0,911.7
2016-07-01 19:00:00,27.9,38,15.5,196.0,911.1
2016-07-01 20:00:00,26.5,45,14.8,123.0,911.0
2016-07-01 21:00:00,25.1,52,12.3,83.0,909.6
2016-07-01 22:00:00,23.5,59,10.8,17.0,908.9
2016-07-01 23:00:00,22.1,65,10.9,0.0,909.4
2016-07-02 00:00:00,21.6,66,11.6,0.0,909.8
2016-07-02 01:00:00,20.9,68,12.7,0.0,909.7
2016-07-02 02:00:00,20.3,69,12.3,0.0,909.0
2016-07-02 03:00:00,21.3,57,11.5,0.0,909.0
2016-07-02 04:00:00,20.4,58,11.2,0.0,908.5
2016-07-02 05:00:00,20.1,57,11.2,0.0,908.6
2016-07-02 06:00:00,19.6,57,11.6,0.0,908.9
2016-07-02 07:00:00,19.3,59,12.3,4.0,909.0
2016-07-02 08:00:00,20.2,60,11.5,82.0,909.7
2016-07-02 09:00:00,23.7,57,9.4,230.0,910.4
2016-07-02 10:00:00,26.6,37,7.2,402.0,911.1
2016-07-02 11:00:00,27.7,34,4.0,585.0,910.6
2016-07-02 12:00:00,28.8,32,2.3,716.0,910.6
2016-07-02 13:00:00,29.7,31,5.6,806.0,909.9
2016-07-02 14:00:00,30.3,30,6.8,851.0,909.6
2016-07-02 15:00:00,31.1,27,3.3,766.0,909.4
2016-07-02 16:00:00,31.3,27,3.6,721.0,908.8
2016-07-02 17:00:00,31.1,29,1.1,654.0,907.9
2016-07-02 18:00:00,30.9,29,3.3,519.0,907.4
2016-07-02 19:00:00,30.4,31,5.2,347.0,907.6
2016-07-02 20:00:00,29.6,34,2.3,259.0,906.9
2016-07-02 21:00:00,28.4,39,4.7,129.0,906.6
2016-07-02 22:00:00,26.2,50,5.8,20.0,907.0
2016-07-02 23:00:00,24.6,55,11.0,0.0,908.0
2016-07-03 00:00:00,23.6,58,14.8,0.0,908.5
2016-07-03 01:00:00,23.2,58,12.3,0.0,908.1
2016-07-03 02:00:00,23.0,57,12.2,0.0,908.3
2016-07-03 03:00:00,21.6,64,11.8,0.0,908.0
2016-07-03 04:00:00,20.8,68,10.5,0.0,907.8
2016-07-03 05:00:00,20.2,68,10.0,0.0,907.8
2016-07-03 06:00:00,19.7,69,4.4,0.0,908.9
2016-07-03 07:00:00,19.6,69,6.0,3.0,909.5
2016-07-03 08:00:00,20.4,64,8.0,47.0,911.1
2016-07-03 09:00:00,20.6,64,12.3,137.0,911.7
2016-07-03 10:00:00,20.5,66,10.9,303.0,912.1
2016-07-03 11:00:00,20.4,69,10.3,345.0,912.0
2016-07-03 12:00:00,20.4,71,11.6,384.0,912.5
2016-07-03 13:00:00,20.3,73,11.5,353.0,912.6
2016-07-03 14:00:00,20.4,73,10.1,274.0,912.8
2016-07-03 15:00:00,22.4,60,4.3,402.0,913.5
2016-07-03 16:00:00,23.1,55,2.5,515.0,913.7
2016-07-03 17:00:00,23.4,52,3.4,327.0,913.5
2016-07-03 18:00:00,24.0,49,6.8,345.0,912.0
2016-07-03 19:00:00,24.0,48,4.6,263.0,911.6
2016-07-03 20:00:00,23.9,48,5.1,169.0,912.3
2016-07-03 21:00:00,23.3,51,4.7,80.0,912.0
2016-07-03 22:00:00,22.2,59,6.5,18.0,911.9
2016-07-03 23:00:00,20.9,63,8.7,0.0,911.8
2016-07-04 00:00:00,19.6,68,9.1,0.0,911.2
2016-07-04 01:00:00,18.5,72,10.5,0.0,910.5
2016-07-04 02:00:00,17.6,75,11.5,0.0,910.2
2016-07-04 03:00:00,17.0,73,12.1,0.0,909.6
2016-07-04 04:00:00,16.6,72,12.8,0.0,909.3
2016-07-04 05:00:00,16.2,72,12.7,0.0,909.3
2016-07-04 06:00:00,15.9,71,12.6,0.0,909.9
2016-07-04 07:00:00,15.8,71,13.1,4.0,909.9
2016-07-04 08:00:00,17.2,67,12.9,76.0,910.7
2016-07-04 09:00:00,21.0,57,10.7,233.0,911.7
2016-07-04 10:00:00,23.6,44,7.0,413.0,912.5
2016-07-04 11:00:00,24.9,38,4.0,596.0,912.3
2016-07-04 12:00:00,26.1,33,2.9,749.0,912.1
2016-07-04 13:00:00,27.3,30,6.8,860.0,912.0
2016-07-04 14:00:00,28.3,27,9.4,923.0,911.4
2016-07-04 15:00:00,29.2,25,10.4,924.0,911.2
2016-07-04 16:00:00,29.7,24,9.1,853.0,910.9
2016-07-04 17:00:00,29.9,23,7.6,691.0,910.6
2016-07-04 18:00:00,29.7,24,10.0,549.0,910.3
2016-07-04 19:00:00,29.2,25,8.7,414.0,910.1
2016-07-04 20:00:00,28.6,26,5.2,247.0,910.7
2016-07-04 21:00:00,27.4,32,3.6,121.0,910.4
2016-07-04 22:00:00,25.8,40,5.7,22.0,910.4
2016-07-04 23:00:00,23.3,46,9.8,0.0,910.5
2016-07-05 00:00:00,21.9,51,10.9,0.0,910.2
2016-07-05 01:00:00,20.8,55,11.8,0.0,910.1
2016-07-05 02:00:00,20.3,55,12.4,0.0,910.0
2016-07-05 03:00:00,19.9,52,11.8,0.0,909.7
2016-07-05 04:00:00,19.3,53,11.6,0.0,909.5
2016-07-05 05:00:00,19.1,52,10.4,0.0,909.7
2016-07-05 06:00:00,19.6,50,10.1,0.0,910.9
2016-07-05 07:00:00,19.3,53,10.1,3.0,911.1
2016-07-05 08:00:00,20.6,51,8.0,79.0,911.9
2016-07-05 09:00:00,22.7,55,3.9,228.0,912.3
2016-07-05 10:00:00,24.3,42,1.5,409.0,912.7
2016-07-05 11:00:00,25.4,40,1.3,585.0,912.4
2016-07-05 12:00:00,26.6,39,4.0,734.0,912.2
2016-07-05 13:00:00,27.8,36,7.6,848.0,912.0
2016-07-05 14:00:00,28.8,35,10.9,890.0,911.7
2016-07-05 15:00:00,29.4,34,13.2,805.0,911.3
2016-07-05 16:00:00,29.5,34,13.8,687.0,911.3
2016-07-05 17:00:00,29.0,35,10.3,527.0,911.1
2016-07-05 18:00:00,28.9,35,10.2,461.0,910.9
2016-07-05 19:00:00,28.7,34,7.6,393.0,911.3
2016-07-05 20:00:00,28.4,34,7.4,275.0,911.5
2016-07-05 21:00:00,27.4,39,4.6,106.0,911.2
2016-07-05 22:00:00,26.0,43,8.5,17.0,911.3
2016-07-05 23:00:00,24.4,50,8.8,0.0,911.0
2016-07-06 00:00:00,23.2,55,8.5,0.0,911.2
2016-07-06 01:00:00,22.4,59,9.5,0.0,911.1
2016-07-06 02:00:00,21.6,62,9.2,0.0,911.5
2016-07-06 03:00:00,21.1,66,7.9,0.0,911.8
2016-07-06 04:00:00,20.9,65,4.2,0.0,912.8
2016-07-06 05:00:00,21.2,61,2.0,0.0,913.0
2016-07-06 06:00:00,20.4,64,4.0,0.0,913.4
2016-07-06 07:00:00,19.5,68,4.8,3.0,914.0
2016-07-06 08:00:00,20.2,67,5.2,75.0,914.5
2016-07-06 09:00:00,21.6,61,4.6,213.0,915.2
2016-07-06 10:00:00,22.5,58,3.1,375.0,914.9
2016-07-06 11:00:00,23.6,55,5.1,532.0,914.7
2016-07-06 12:00:00,24.8,52,9.0,674.0,914.7
2016-07-06 13:00:00,26.0,48,11.5,759.0,914.6
2016-07-06 14:00:00,27.0,45,11.5,801.0,914.6
2016-07-06 15:00:00,27.5,44,11.9,617.0,914.0
2016-07-06 16:00:00,27.7,43,11.9,533.0,913.8
2016-07-06 17:00:00,28.0,42,10.5,480.0,913.7
2016-07-06 18:00:00,28.0,41,14.4,367.0,915.1
2016-07-06 19:00:00,27.9,40,14.8,274.0,915.8
2016-07-06 20:00:00,27.7,40,17.4,155.0,916.5
2016-07-06 21:00:00,25.9,47,17.8,73.0,916.7
2016-07-06 22:00:00,22.4,67,15.5,15.0,916.8
2016-07-06 23:00:00,20.5,79,10.7,0.0,917.1
2016-07-07 00:00:00,19.5,87,8.6,0.0,917.1
2016-07-07 01:00:00,18.8,88,7.6,0.0,916.9
2016-07-07 02:00:00,18.2,90,7.6,0.0,916.8
2016-07-07 03:00:00,17.3,93,7.6,0.0,916.4
2016-07-07 04:00:00,17.0,93,7.9,0.0,916.8
2016-07-07 05:00:00,16.5,95,8.4,0.0,916.5
2016-07-07 06:00:00,16.4,94,8.2,0.0,918.7
2016-07-07 07:00:00,16.4,94,6.1,0.0,918.3
2016-07-07 08:00:00,16.6,92,1.8,7.0,918.6
2016-07-07 09:00:00,17.0,91,1.8,28.0,918.8
2016-07-07 10:00:00,17.4,88,3.0,36.0,918.9
2016-07-07 11:00:00,17.6,85,3.1,53.0,918.7
2016-07-07 12:00:00,17.8,83,2.1,91.0,918.7
2016-07-07 13:00:00,18.1,81,1.8,150.0,918.8
2016-07-07 14:00:00,18.4,79,2.4,180.0,919.0
2016-07-07 15:00:00,17.5,80,4.3,112.0,918.5
2016-07-07 16:00:00,17.7,79,6.1,154.0,918.3
2016-07-07 17:00:00,18.5,75,4.8,304.0,918.1
2016-07-07 18:00:00,19.5,67,5.5,366.0,917.6
2016-07-07 19:00:00,20.5,62,3.9,352.0,917.8
2016-07-07 20:00:00,20.8,60,1.1,260.0,917.8
2016-07-07 21:00:00,20.5,61,4.4,133.0,917.8
2016-07-07 22:00:00,19.7,65,7.6,24.0,917.7
2016-07-07 23:00:00,18.8,69,8.9,0.0,918.1
2016-07-08 00:00:00,16.8,79,8.7,0.0,917.2
2016-07-08 01:00:00,15.9,83,8.0,0.0,916.8
2016-07-08 02:00:00,15.6,84,7.6,0.0,916.7
2016-07-08 03:00:00,16.6,78,7.7,0.0,917.1
2016-07-08 04:00:00,16.4,78,8.2,0.0,917.0
2016-07-08 05:00:00,15.7,80,9.4,0.0,916.8
2016-07-08 06:00:00,15.5,81,7.9,0.0,916.6
2016-07-08 07:00:00,15.3,82,8.4,2.0,916.6
2016-07-08 08:00:00,16.5,79,8.2,57.0,917.2
2016-07-08 09:00:00,19.9,68,7.3,195.0,918.4
2016-07-08 10:00:00,21.7,57,7.2,361.0,918.7
2016-07-08 11:00:00,22.8,55,8.2,518.0,918.9
2016-07-08 12:00:00,23.4,53,10.2,575.0,918.7
2016-07-08 13:00:00,23.9,51,11.0,682.0,918.6
2016-07-08 14:00:00,24.3,50,9.3,706.0,918.3
2016-07-08 15:00:00,23.9,52,9.2,567.0,917.4
2016-07-08 16:00:00,24.4,50,8.8,605.0,917.2
2016-07-08 17:00:00,24.5,50,8.6,568.0,917.0
2016-07-08 18:00:00,24.3,51,13.0,433.0,916.2
2016-07-08 19:00:00,24.0,52,9.1,343.0,916.3
2016-07-08 20:00:00,23.4,55,2.9,159.0,916.3
2016-07-08 21:00:00,22.8,58,4.1,96.0,916.3
2016-07-08 22:00:00,21.4,70,7.9,19.0,916.1
2016-07-08 23:00:00,19.7,73,9.0,0.0,916.1
2016-07-09 00:00:00,18.5,78,10.4,0.0,915.7
2016-07-09 01:00:00,17.8,79,11.1,0.0,915.7
2016-07-09 02:00:00,17.6,78,10.3,0.0,915.4
2016-07-09 03:00:00,17.6,74,10.0,0.0,915.3
2016-07-09 04:00:00,16.9,76,8.4,0.0,914.9
2016-07-09 05:00:00,16.7,77,8.4,0.0,914.7
2016-07-09 06:00:00,16.4,78,7.2,0.0,914.3
2016-07-09 07:00:00,16.3,80,7.6,2.0,915.0
2016-07-09 08:00:00,17.6,79,7.6,56.0,915.3
2016-07-09 09:00:00,20.7,65,6.9,161.0,916.2
2016-07-09 10:00:00,21.9,51,4.8,276.0,916.4
2016-07-09 11:00:00,22.4,50,2.0,372.0,916.4
2016-07-09 12:00:00,22.8,50,3.8,488.0,916.0
2016-07-09 13:00:00,23.4,50,5.7,644.0,916.1
2016-07-09 14:00:00,24.1,49,5.8,699.0,915.8
2016-07-09 15:00:00,24.8,46,5.9,593.0,915.7
2016-07-09 16:00:00,24.8,46,5.4,549.0,915.2
2016-07-09 17:00:00,24.9,45,6.5,503.0,915.2
2016-07-09 18:00:00,24.8,45,8.8,385.0,914.6
2016-07-09 19:00:00,23.9,49,3.5,180.0,914.7
2016-07-09 20:00:00,23.4,52,5.2,147.0,914.4
2016-07-09 21:00:00,22.6,57,5.9,96.0,914.4
2016-07-09 22:00:00,21.5,63,7.8,19.0,914.6
2016-07-09 23:00:00,20.0,71,9.1,0.0,914.7
2016-07-10 00:00:00,19.0,75,9.7,0.0,914.7
2016-07-10 01:00:00,18.7,75,9.8,0.0,914.8
2016-07-10 02:00:00,18.3,75,10.1,0.0,914.3
2016-07-10 03:00:00,18.0,74,10.9,0.0,914.2
2016-07-10 04:00:00,17.9,73,11.0,0.0,914.2
2016-07-10 05:00:00,17.7,72,10.7,0.0,914.2
2016-07-10 06:00:00,17.8,70,9.5,0.0,913.7
2016-07-10 07:00:00,17.1,72,8.9,2.0,914.2
2016-07-10 08:00:00,17.9,69,9.4,64.0,914.9
2016-07-10 09:00:00,20.7,60,9.4,211.0,915.8
2016-07-10 10:00:00,23.1,48,9.8,392.0,916.5
2016-07-10 11:00:00,24.5,43,7.6,565.0,916.7
2016-07-10 12:00:00,25.5,39,7.8,697.0,917.1
2016-07-10 13:00:00,26.3,37,8.7,806.0,917.2
2016-07-10 14:00:00,27.0,35,8.9,850.0,917.1
2016-07-10 15:00:00,27.7,33,9.4,901.0,916.9
