date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure,precipitation,cloud_cover,dew_point_2m
2016-07-01 00:00:00,25.6,94,14.8,0.0,1001.7,0.6,100,24.5
2016-07-01 01:00:00,25.8,93,15.6,0.0,1000.7,0.7,100,24.6
2016-07-01 02:00:00,25.8,93,16.4,0.0,999.9,0.9,100,24.6
2016-07-01 03:00:00,25.1,93,13.4,0.0,999.1,2.2,100,23.9
2016-07-01 04:00:00,25.1,93,11.3,0.0,998.9,2.1,100,23.9
2016-07-01 05:00:00,25.2,93,11.9,0.0,998.4,1.8,100,23.9
2016-07-01 06:00:00,25.6,90,14.8,1.0,998.7,1.9,100,23.9
2016-07-01 07:00:00,26.0,87,17.7,16.0,999.0,1.1,100,23.7
2016-07-01 08:00:00,26.3,84,20.3,63.0,999.3,0.6,100,23.4
2016-07-01 09:00:00,26.4,85,21.6,108.0,999.8,1.7,100,23.6
2016-07-01 10:00:00,26.4,85,19.4,131.0,999.9,2.2,100,23.7
2016-07-01 11:00:00,26.1,86,19.1,55.0,1000.0,2.4,100,23.6
2016-07-01 12:00:00,26.4,86,21.2,95.0,999.5,2.2,100,23.8
2016-07-01 13:00:00,26.3,86,23.6,80.0,998.6,2.2,100,23.9
2016-07-01 14:00:00,26.4,87,26.0,119.0,997.9,2.6,100,24.1
2016-07-01 15:00:00,26.3,86,27.3,69.0,997.3,1.8,100,23.8
2016-07-01 16:00:00,26.5,87,26.3,92.0,997.2,1.0,100,24.1
2016-07-01 17:00:00,26.5,87,23.0,58.0,997.4,0.9,100,24.2
2016-07-01 18:00:00,26.4,88,8.0,49.0,999.4,0.6,100,24.3
2016-07-01 19:00:00,26.2,89,6.4,13.0,1000.0,0.7,100,24.2
2016-07-01 20:00:00,25.8,90,8.1,1.0,1000.2,1.4,100,24.1
2016-07-01 21:00:00,25.7,91,4.8,0.0,1000.6,1.3,100,24.2
2016-07-01 22:00:00,25.7,91,3.6,0.0,1001.2,1.0,100,24.2
2016-07-01 23:00:00,25.5,92,5.4,0.0,1001.5,0.8,100,24.2
2016-07-02 00:00:00,25.4,93,5.2,0.0,1001.4,0.3,100,24.3
2016-07-02 01:00:00,25.3,94,3.6,0.0,1000.8,0.2,100,24.3
2016-07-02 02:00:00,25.1,94,3.6,0.0,1000.4,0.1,100,24.2
2016-07-02 03:00:00,24.4,97,5.9,0.0,1000.3,0.6,100,23.9
2016-07-02 04:00:00,24.3,97,5.4,0.0,1000.4,0.7,100,23.8
2016-07-02 05:00:00,24.2,98,4.8,0.0,1000.5,0.7,100,23.8
2016-07-02 06:00:00,24.2,98,6.2,0.0,1001.9,0.9,100,23.9
