date,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,surface_pressure
2016-07-01 00:00:00,22.2,85,4.7,0.0,959.1
2016-07-01 01:00:00,21.7,86,1.8,0.0,958.9
2016-07-01 02:00:00,20.9,88,2.3,0.0,958.7
2016-07-01 03:00:00,19.6,91,3.1,0.0,958.6
2016-07-01 04:00:00,19.1,92,3.9,0.0,958.2
2016-07-01 05:00:00,19.2,91,4.1,0.0,958.1
2016-07-01 06:00:00,19.3,90,5.5,4.0,959.2
2016-07-01 07:00:00,21.0,85,4.5,89.0,959.1
2016-07-01 08:00:00,24.4,74,2.2,263.0,960.2
2016-07-01 09:00:00,26.6,62,2.7,454.0,961.0
2016-07-01 10:00:00,28.2,54,4.1,657.0,960.8
2016-07-01 11:00:00,29.6,49,4.7,809.0,960.9
2016-07-01 12:00:00,30.7,45,4.3,916.0,960.5
2016-07-01 13:00:00,31.6,43,2.5,969.0,959.9
2016-07-01 14:00:00,32.3,41,1.3,925.0,959.0
2016-07-01 15:00:00,32.3,39,1.1,855.0,958.4
2016-07-01 16:00:00,32.3,39,0.8,703.0,957.7
2016-07-01 17:00:00,32.2,41,1.5,567.0,957.1
2016-07-01 18:00:00,31.3,47,2.4,329.0,958.1
2016-07-01 19:00:00,30.1,54,3.2,173.0,958.4
2016-07-01 20:00:00,28.0,67,3.1,40.0,958.7
2016-07-01 21:00:00,25.8,71,4.7,0.0,958.8
2016-07-01 22:00:00,24.3,74,4.7,0.0,959.1
2016-07-01 23:00:00,23.6,74,3.9,0.0,959.2
2016-07-02 00:00:00,22.9,75,2.5,0.0,958.9
2016-07-02 01:00:00,22.5,75,3.8,0.0,958.6
2016-07-02 02:00:00,22.0,76,3.9,0.0,958.2
2016-07-02 03:00:00,21.5,75,3.9,0.0,958.3
2016-07-02 04:00:00,21.0,76,4.0,0.0,958.3
2016-07-02 05:00:00,20.8,77,4.0,0.0,958.6
2016-07-02 06:00:00,20.4,78,4.0,4.0,959.6
2016-07-02 07:00:00,22.1,75,3.9,91.0,960.1
2016-07-02 08:00:00,25.7,65,2.5,266.0,960.9
2016-07-02 09:00:00,28.2,55,1.8,468.0,961.6
2016-07-02 10:00:00,29.9,50,2.4,651.0,961.5
2016-07-02 11:00:00,31.2,47,2.3,799.0,961.3
2016-07-02 12:00:00,32.4,44,2.5,906.0,960.7
2016-07-02 13:00:00,33.5,41,3.3,957.0,959.8
2016-07-02 14:00:00,34.2,38,3.8,930.0,958.8
2016-07-02 15:00:00,34.2,39,4.7,837.0,957.9
2016-07-02 16:00:00,34.2,39,5.2,678.0,956.9
2016-07-02 17:00:00,33.6,41,8.7,470.0,956.8
2016-07-02 18:00:00,32.5,46,7.0,281.0,957.0
2016-07-02 19:00:00,31.1,51,9.5,159.0,956.3
2016-07-02 20:00:00,29.4,54,10.2,32.0,957.1
2016-07-02 21:00:00,28.0,56,8.2,0.0,957.8
2016-07-02 22:00:00,26.7,60,8.2,0.0,958.6
2016-07-02 23:00:00,25.4,65,8.4,0.0,958.3
2016-07-03 00:00:00,24.3,69,7.9,0.0,958.1
2016-07-03 01:00:00,23.3,74,7.1,0.0,958.0
2016-07-03 02:00:00,22.5,78,6.9,0.0,958.0
2016-07-03 03:00:00,22.6,75,6.4,0.0,957.9
2016-07-03 04:00:00,22.3,76,6.4,0.0,957.7
2016-07-03 05:00:00,22.0,78,5.9,0.0,958.1
2016-07-03 06:00:00,21.5,82,5.1,3.0,958.8
2016-07-03 07:00:00,22.7,83,4.9,66.0,958.7
2016-07-03 08:00:00,26.0,66,4.7,210.0,960.0
2016-07-03 09:00:00,27.9,56,4.5,397.0,960.1
