horizon,model,threshold,n_events,TP,FP,FN,TN,precision,recall,f1,false_alarm_rate
1,DLinear,15.318950065345172,801,603,133,198,10701,0.8192934782608695,0.7528089887640449,0.7846454131424853,0.012276167620454127
1,LightGBM,15.318950065345172,815,651,175,164,10645,0.788135593220339,0.7987730061349694,0.793418647166362,0.016173752310536044
1,LightGBM+外気温,15.318950065345172,815,655,168,160,10652,0.795868772782503,0.803680981595092,0.7997557997557998,0.015526802218114602
1,PatchTST,15.318950065345172,801,618,147,183,10687,0.807843137254902,0.7715355805243446,0.789272030651341,0.013568395791028245
1,Persistence,15.318950065345172,815,622,190,193,10630,0.7660098522167488,0.7631901840490798,0.7645974185617701,0.01756007393715342
1,Ridge,15.318950065345172,815,664,223,151,10597,0.7485907553551296,0.8147239263803681,0.7802585193889541,0.020609981515711646
1,SeasonalNaive,15.318950065345172,815,649,245,166,10575,0.7259507829977628,0.7963190184049079,0.7595084844938561,0.02264325323475046
24,DLinear,15.325318937467124,898,211,133,687,10581,0.6133720930232558,0.23496659242761692,0.33977455716586147,0.01241366436438305
24,LightGBM,15.325318937467124,910,270,232,640,10470,0.5378486055776892,0.2967032967032967,0.38243626062322944,0.021678190992337882
24,LightGBM+外気温,15.325318937467124,910,235,155,675,10547,0.6025641025641025,0.25824175824175827,0.3615384615384616,0.01448327415436367
24,PatchTST,15.325318937467124,898,228,284,670,10430,0.4453125,0.25389755011135856,0.32340425531914896,0.026507373529960798
24,Persistence,15.325318937467124,910,451,361,459,10341,0.5554187192118226,0.4956043956043956,0.5238095238095238,0.03373201270790507
24,Ridge,15.325318937467124,910,412,1449,498,9253,0.22138635142396562,0.45274725274725275,0.29736557199566943,0.1353952532236965
24,SeasonalNaive,15.325318937467124,910,639,1362,271,9340,0.3193403298350825,0.7021978021978021,0.43902439024390244,0.1272659316015698
168,DLinear,15.366640430780333,1092,11,35,1081,10341,0.2391304347826087,0.010073260073260074,0.019332161687170477,0.0033731688511950656
168,LightGBM,15.366640430780333,1108,210,509,898,9851,0.29207232267037553,0.18953068592057762,0.22988505747126436,0.04913127413127413
168,LightGBM+外気温,15.366640430780333,1108,142,295,966,10065,0.32494279176201374,0.12815884476534295,0.1838187702265372,0.028474903474903474
168,PatchTST,15.366640430780333,1092,33,83,1059,10293,0.28448275862068967,0.03021978021978022,0.054635761589403975,0.00799922898997687
168,Persistence,15.366640430780333,1108,196,615,912,9745,0.24167694204685575,0.17689530685920576,0.20427305888483588,0.05936293436293436
168,Ridge,15.366640430780333,1108,401,1711,707,8649,0.18986742424242425,0.361913357400722,0.24906832298136647,0.16515444015444014
168,SeasonalNaive,15.366640430780333,1108,431,2260,677,8100,0.16016350798959494,0.38898916967509023,0.2269018162674388,0.21814671814671815
