dataset,task,horizon,fold,model,MAE,RMSE,R2,n,fit_seconds
ETTh2,forecast,1,fold1,Persistence,1.0412081440289815,1.636404653915713,0.966416479756168,2880,0.0
ETTh2,forecast,1,fold1,SeasonalNaive,0.8924787080950207,1.6974767580054695,0.9638629681523658,2880,0.0
ETTh2,forecast,1,fold1,Ridge,1.0629644461304428,1.8006183992218712,0.9593380527690331,2880,0.1
ETTh2,forecast,1,fold1,LightGBM,0.5062352555603689,1.1447517199331931,0.9835650868014971,2880,8.43
ETTh2,forecast,1,fold2,Persistence,0.8544497971977693,1.1767856443690805,0.9801602616452679,2928,0.0
ETTh2,forecast,1,fold2,SeasonalNaive,0.6752821500184107,1.0276283317921684,0.9848708908749986,2928,0.0
ETTh2,forecast,1,fold2,Ridge,0.5217843260859657,0.7614845006987869,0.9916926338407394,2928,0.25
ETTh2,forecast,1,fold2,LightGBM,0.40925705162756715,0.6528959783803223,0.9938929819466159,2928,22.77
ETTh2,forecast,1,fold3,Persistence,0.8311212736416639,1.2016841916028798,0.9694374067045747,2952,0.0
ETTh2,forecast,1,fold3,SeasonalNaive,0.599966995496944,0.8669213640181156,0.9840937092173185,2952,0.0
ETTh2,forecast,1,fold3,Ridge,0.456024743188894,0.6001992559775219,0.9923756923604639,2952,0.38
ETTh2,forecast,1,fold3,LightGBM,0.34374204989940293,0.5049402850183328,0.9946037812337355,2952,8.33
ETTh2,forecast,1,fold4,Persistence,0.9890895757260529,1.34739402479285,0.9777332617281708,2875,0.0
ETTh2,forecast,1,fold4,SeasonalNaive,0.7555087532375171,1.1071222670593879,0.984966554017192,2875,0.0
ETTh2,forecast,1,fold4,Ridge,0.5103133827795819,0.7187876253959729,0.9936632211081894,2875,0.4
ETTh2,forecast,1,fold4,LightGBM,0.4051954316744649,0.6175740467447648,0.9953221591341787,2875,11.23
ETTh2,forecast,24,fold1,Persistence,3.6636260479688643,5.064632091197542,0.6783453007347101,2880,0.0
ETTh2,forecast,24,fold1,SeasonalNaive,5.564769809775882,7.72465653805483,0.2517401326757537,2880,0.0
