dataset,task,horizon,fold,model,MAE,RMSE,R2,n,fit_seconds
ETTh2,forecast,1,fold1,Persistence+外気温,1.0412081440289815,1.636404653915713,0.966416479756168,2880,0.0
ETTh2,forecast,1,fold1,SeasonalNaive+外気温,0.8924787080950207,1.6974767580054695,0.9638629681523658,2880,0.0
ETTh2,forecast,1,fold1,Ridge+外気温,1.266439734044583,1.9703436094125524,0.9513112365878582,2880,0.07
ETTh2,forecast,1,fold1,LightGBM+外気温,0.4782293846411061,1.1136316354526106,0.9844465074837859,2880,4.51
ETTh2,forecast,1,fold2,Persistence+外気温,0.8544497971977693,1.1767856443690805,0.9801602616452679,2928,0.0
ETTh2,forecast,1,fold2,SeasonalNaive+外気温,0.6752821500184107,1.0276283317921684,0.9848708908749986,2928,0.0
ETTh2,forecast,1,fold2,Ridge+外気温,0.6469425566728602,0.873739085478847,0.9890628354981944,2928,0.11
ETTh2,forecast,1,fold2,LightGBM+外気温,0.3912603453252406,0.6330200309262036,0.9942591510191082,2928,7.1
ETTh2,forecast,1,fold3,Persistence+外気温,0.8311212736416639,1.2016841916028798,0.9694374067045747,2952,0.0
ETTh2,forecast,1,fold3,SeasonalNaive+外気温,0.599966995496944,0.8669213640181156,0.9840937092173185,2952,0.0
ETTh2,forecast,1,fold3,Ridge+外気温,0.41231561332745637,0.5481844065846666,0.9936399158547362,2952,0.14
ETTh2,forecast,1,fold3,LightGBM+外気温,0.30343285202349574,0.4336828272102332,0.9960193503352299,2952,9.26
ETTh2,forecast,1,fold4,Persistence+外気温,0.9890895757260529,1.34739402479285,0.9777332617281708,2875,0.0
ETTh2,forecast,1,fold4,SeasonalNaive+外気温,0.7555087532375171,1.1071222670593879,0.984966554017192,2875,0.0
ETTh2,forecast,1,fold4,Ridge+外気温,0.4657025401639595,0.650624033921066,0.9948080849948562,2875,0.18
ETTh2,forecast,1,fold4,LightGBM+外気温,0.3717137632438272,0.5809648237142552,0.995860317387912,2875,5.99
ETTh2,forecast,24,fold1,Persistence+外気温,3.6636260479688643,5.064632091197542,0.6783453007347101,2880,0.0
ETTh2,forecast,24,fold1,SeasonalNaive+外気温,5.564769809775882,7.72465653805483,0.2517401326757537,2880,0.0
ETTh2,forecast,24,fold1,Ridge+外気温,13.838247325756488,21.876233161112218,-5.001214953205854,2880,0.07
ETTh2,forecast,24,fold1,LightGBM+外気温,2.4559129786519387,3.3543824344278517,0.8589025236703459,2880,16.74
ETTh2,forecast,24,fold2,Persistence+外気温,3.0893080807774447,4.328358544337911,0.7342721968517327,2928,0.0
ETTh2,forecast,24,fold2,SeasonalNaive+外気温,4.565549904531468,6.40641468582866,0.41786912568954426,2928,0.0
ETTh2,forecast,24,fold2,Ridge+外気温,2.156671688956958,2.7726800753433305,0.8909589405393531,2928,0.14
ETTh2,forecast,24,fold2,LightGBM+外気温,2.16609076129064,2.8743126274783717,0.8828186370370326,2928,17.65
ETTh2,forecast,24,fold3,Persistence+外気温,2.7087620260770655,3.5824438856587473,0.7236973753637794,2952,0.0
ETTh2,forecast,24,fold3,SeasonalNaive+外気温,4.207777265824004,5.549499189988125,0.33696904914831627,2952,0.0
ETTh2,forecast,24,fold3,Ridge+外気温,1.8646354760989496,2.418687528706854,0.8740536029862951,2952,0.16
ETTh2,forecast,24,fold3,LightGBM+外気温,1.8712183704985896,2.491018124581999,0.8664081412970897,2952,4.07
ETTh2,forecast,24,fold4,Persistence+外気温,3.7078927014686616,5.007968828285397,0.6916410145083586,2852,0.0
ETTh2,forecast,24,fold4,SeasonalNaive+外気温,5.369747196307189,7.405356310619941,0.32574326486151006,2852,0.0
ETTh2,forecast,24,fold4,Ridge+外気温,2.197829871131773,2.752551615631892,0.9068453974230177,2852,0.19
ETTh2,forecast,24,fold4,LightGBM+外気温,1.868765105447517,2.4645487534033945,0.9253193306711766,2852,14.34
ETTh2,forecast,168,fold1,Persistence+外気温,5.505340860949622,7.884589640140455,0.19061549013827894,2880,0.0
