dataset,task,horizon,fold,model,MAE,RMSE,R2,n,fit_seconds
ETTh1,forecast,1,fold1,DLinear,0.7274653315544128,1.0401716232299805,0.9538676738739014,2880,2.8
ETTh1,forecast,1,fold1,PatchTST,0.7532809972763062,1.0618113279342651,0.9519281983375549,2880,73.1
ETTh1,forecast,1,fold2,DLinear,0.5819591879844666,0.8889315724372864,0.9682744145393372,2928,5.3
ETTh1,forecast,1,fold2,PatchTST,0.5845736861228943,0.8827163577079773,0.9687165021896362,2928,143.6
ETTh1,forecast,1,fold3,DLinear,0.4170926809310913,0.5699061155319214,0.9638632535934448,2952,3.9
ETTh1,forecast,1,fold3,PatchTST,0.4149494171142578,0.5677294731140137,0.9641388058662415,2952,254.1
ETTh1,forecast,1,fold4,DLinear,0.4481622874736786,0.6578273177146912,0.9564144611358643,2875,4.8
ETTh1,forecast,1,fold4,PatchTST,0.44536659121513367,0.6514161229133606,0.9572598934173584,2875,204.7
ETTh1,forecast,24,fold1,DLinear,2.372978448867798,3.0561892986297607,0.604418158531189,2880,2.0
ETTh1,forecast,24,fold1,PatchTST,2.5074117183685303,3.2503693103790283,0.5525534152984619,2880,32.8
ETTh1,forecast,24,fold2,DLinear,1.9205431938171387,2.5208868980407715,0.7432850003242493,2928,4.0
ETTh1,forecast,24,fold2,PatchTST,2.052748441696167,2.7148518562316895,0.7022602558135986,2928,62.7
ETTh1,forecast,24,fold3,DLinear,1.4492977857589722,1.8852654695510864,0.5860887765884399,2952,5.3
ETTh1,forecast,24,fold3,PatchTST,1.537288784980774,1.9730224609375,0.5466576814651489,2952,97.8
ETTh1,forecast,24,fold4,DLinear,1.7300585508346558,2.2344248294830322,0.4956689476966858,2852,4.8
ETTh1,forecast,24,fold4,PatchTST,1.800516963005066,2.321796417236328,0.45545661449432373,2852,93.1
ETTh1,forecast,168,fold1,DLinear,3.4557535648345947,4.243140697479248,0.22227782011032104,2880,1.5
ETTh1,forecast,168,fold1,PatchTST,3.600090503692627,4.411099433898926,0.1594892144203186,2880,30.2
ETTh1,forecast,168,fold2,DLinear,2.714393377304077,3.4151408672332764,0.5418362617492676,2928,1.9
ETTh1,forecast,168,fold2,PatchTST,2.6543304920196533,3.364182472229004,0.5554071068763733,2928,48.4
ETTh1,forecast,168,fold3,DLinear,2.1131865978240967,2.6141419410705566,0.05706971883773804,2952,1.5
ETTh1,forecast,168,fold3,PatchTST,2.1230692863464355,2.7123916149139404,-0.015140175819396973,2952,61.9
ETTh1,forecast,168,fold4,DLinear,2.7604317665100098,3.4240174293518066,-0.2907038927078247,2708,2.6
ETTh1,forecast,168,fold4,PatchTST,2.6726579666137695,3.3491456508636475,-0.23487412929534912,2708,97.3
