dataset,task,horizon,fold,model,MAE,RMSE,R2,n,fit_seconds
ETTh1,forecast,1,fold1,Persistence+外気温,0.733042021551066,1.057196084658432,0.952345202087695,2880,0.0
ETTh1,forecast,1,fold1,SeasonalNaive+外気温,0.9674337139146195,1.3697236475087597,0.9200052570050172,2880,0.0
ETTh1,forecast,1,fold1,Ridge+外気温,0.8698114157922651,1.1640435930959843,0.942225788129787,2880,0.19
ETTh1,forecast,1,fold1,LightGBM+外気温,0.6976363347657282,1.0165614014513513,0.9559381455656367,2880,4.07
ETTh1,forecast,1,fold2,Persistence+外気温,0.6055492012878585,0.9209888673591206,0.9659449374322963,2928,0.0
ETTh1,forecast,1,fold2,SeasonalNaive+外気温,0.8220594544879725,1.2183472953148977,0.9404042721338896,2928,0.0
ETTh1,forecast,1,fold2,Ridge+外気温,0.8223463975897909,1.1531051273093413,0.9466160472065067,2928,0.54
ETTh1,forecast,1,fold2,LightGBM+外気温,0.5620698462405209,0.8672434383507456,0.9698036141234484,2928,14.95
ETTh1,forecast,1,fold3,Persistence+外気温,0.41967107208198323,0.5936335245742889,0.9607916145398282,2952,0.0
ETTh1,forecast,1,fold3,SeasonalNaive+外気温,0.5748906066706834,0.768071718261064,0.9343634616018712,2952,0.0
ETTh1,forecast,1,fold3,Ridge+外気温,0.4484801647402611,0.5900003978870502,0.96127006840378,2952,0.48
ETTh1,forecast,1,fold3,LightGBM+外気温,0.40607097263497505,0.5700142391757178,0.9638495647790569,2952,9.45
ETTh1,forecast,1,fold4,Persistence+外気温,0.4509805198337721,0.66589131064825,0.9553393220023827,2875,0.0
ETTh1,forecast,1,fold4,SeasonalNaive+外気温,0.6036591384307198,0.8803354228684949,0.9219424400968331,2875,0.0
ETTh1,forecast,1,fold4,Ridge+外気温,0.4598524065012167,0.6544678208080796,0.956858502895094,2875,1.13
ETTh1,forecast,1,fold4,LightGBM+外気温,0.40586430926243494,0.6133149582548174,0.9621133915023536,2875,11.23
ETTh1,forecast,24,fold1,Persistence+外気温,2.4939941097050906,3.2807165303545096,0.5441592246554229,2880,0.0
ETTh1,forecast,24,fold1,SeasonalNaive+外気温,3.86059411433008,5.11098882821178,-0.10633237158029774,2880,0.0
ETTh1,forecast,24,fold1,Ridge+外気温,2.8726670839341155,3.565062521734791,0.46171775122769565,2880,0.36
ETTh1,forecast,24,fold1,LightGBM+外気温,2.373734887817664,2.9459268035220503,0.6324472634455292,2880,35.25
ETTh1,forecast,24,fold2,Persistence+外気温,1.958558390700752,2.6840211519413972,0.7089843168136268,2928,0.0
ETTh1,forecast,24,fold2,SeasonalNaive+外気温,3.022973365471011,4.157554136227069,0.3017348743269179,2928,0.0
ETTh1,forecast,24,fold2,Ridge+外気温,4.541776737340618,5.658206173853488,-0.2933082938058442,2928,0.45
ETTh1,forecast,24,fold2,LightGBM+外気温,1.8342345383207546,2.4123922494750167,0.7649066334342964,2928,4.99
