dataset,horizon,noise_std,fold,MAE,RMSE,R2,n
ETTh1,24,0.0,fold1,1.7143514629899141,2.2390806371132026,0.787668110009646,2880
ETTh1,24,0.0,fold2,1.4107673503336293,1.8670492812339385,0.8591826753582988,2928
ETTh1,24,0.0,fold3,1.136343466329216,1.427687694585113,0.7626284725118974,2952
ETTh1,24,0.0,fold4,1.014075982772771,1.3469100341672193,0.8167426512438625,2852
ETTh1,24,1.0,fold1,1.7838918393921592,2.314990419404258,0.7730270235499554,2880
ETTh1,24,1.0,fold2,1.4250876016685177,1.8789936604803672,0.8573751647207319,2928
ETTh1,24,1.0,fold3,1.1449141495013013,1.4412500004072333,0.7580972348448801,2952
ETTh1,24,1.0,fold4,1.049367935398149,1.388255565078801,0.8053192239693125,2852
ETTh1,24,2.0,fold1,1.8549824479335837,2.406984996691001,0.7546294009079546,2880
ETTh1,24,2.0,fold2,1.4836237638705179,1.9575088040829671,0.8452067658522547,2928
ETTh1,24,2.0,fold3,1.1369901205776534,1.424414445032422,0.7637156648511232,2952
ETTh1,24,2.0,fold4,1.1287439531494199,1.4750435337771288,0.7802171004183276,2852
ETTh1,24,3.0,fold1,1.9205034307879052,2.491022316195981,0.7371965916822453,2880
ETTh1,24,3.0,fold2,1.538574490545418,2.0113650236370457,0.8365720572947191,2928
ETTh1,24,3.0,fold3,1.1449301091399104,1.4516936785805625,0.7545787502734899,2952
ETTh1,24,3.0,fold4,1.1846012617979036,1.5380325556499999,0.7610454639167847,2852
ETTh1,168,0.0,fold1,2.63416160534189,3.469049318629031,0.48015897207357405,2880
ETTh1,168,0.0,fold2,1.7852003549110287,2.246913850533822,0.801675522490901,2928
ETTh1,168,0.0,fold3,1.7428616540596873,2.1354544701826152,0.37078094138563533,2952
ETTh1,168,0.0,fold4,1.5050049897810733,1.8938353895148696,0.6051436841339581,2708
ETTh1,168,1.0,fold1,2.6136266857771417,3.43005674773046,0.49177945820675484,2880
ETTh1,168,1.0,fold2,1.7702929668061131,2.2506008701120632,0.8010241168525851,2928
ETTh1,168,1.0,fold3,1.7339751217763186,2.140089446928827,0.36804655320990987,2952
ETTh1,168,1.0,fold4,1.5545639790727954,1.9546608968533419,0.5793726737874363,2708
ETTh1,168,2.0,fold1,2.7537215968814177,3.576417105626242,0.44748263586926207,2880
ETTh1,168,2.0,fold2,1.8089319048340735,2.278471236323885,0.7960655589788577,2928
ETTh1,168,2.0,fold3,1.8097966702956882,2.229838997725423,0.31393028441270854,2952
ETTh1,168,2.0,fold4,1.699645786421279,2.142016862301331,0.4948732080170586,2708
ETTh1,168,3.0,fold1,2.7990750408804383,3.602501802464329,0.4393936431271236,2880
ETTh1,168,3.0,fold2,1.9485456207976828,2.422836383406383,0.7694040636800197,2928
ETTh1,168,3.0,fold3,1.76826506687163,2.20372164873583,0.32990756940205035,2952
ETTh1,168,3.0,fold4,1.7391310488268623,2.2403083045872734,0.4474517459057372,2708
