city,dataset,r_daily,r_seasonal_residual,r_daily_shape,score
Nanjing,ETTh1,0.9444890527627724,0.5636921648716313,0.9229306604618357,0.8103706260320799
Wuhan,ETTh1,0.9396834679742945,0.506771693107185,0.9622702739301933,0.8029084783372243
Changsha,ETTh1,0.9363804026947562,0.48341424109280406,0.9534697488994296,0.7910881308956633
Zhengzhou,ETTh1,0.9331891686435106,0.37930557643244794,0.9504245375363917,0.75430642753745
Jinan,ETTh1,0.9343825985020046,0.40546211033210683,0.8992412696590433,0.7463619928310515
Xian,ETTh1,0.9302262776566583,0.3056303680253879,0.9667575787706724,0.7342047414842394
Hangzhou,ETTh1,0.9232529259133878,0.368772410653368,0.9089010917049392,0.7336421427572316
Shenyang,ETTh1,0.9273445175755515,0.2733350502120445,0.8949176488995836,0.6985324055623933
Chengdu,ETTh1,0.9112986578465514,0.17198360343913816,0.9792907420089023,0.6875243344315306
Lanzhou,ETTh1,0.9183541817866246,0.1562652743594443,0.9870524670110432,0.687223974385704
Beijing,ETTh1,0.9297094028851165,0.19075632368246773,0.9382757291267334,0.6862471518981058
Shanghai,ETTh1,0.9116467427452772,0.32830400596268766,0.8137925853420099,0.6845811113499916
Harbin,ETTh1,0.9219045486943912,0.13504734984159622,0.8851593746460727,0.64737042439402
Urumqi,ETTh1,0.9014969794334211,0.0532817436299746,0.9738361303052863,0.6428716177895607
Guangzhou,ETTh1,0.8187482449991329,0.06067268695149215,0.9563062661024772,0.6119090660177008
Kunming,ETTh1,0.8436590016869426,-0.09571977459976977,0.9808755205503381,0.576271582545837
Nanjing,ETTh2,0.9802659960390929,0.8283110624143589,0.9487086013844382,0.9190952199459633
Wuhan,ETTh2,0.9780237603921803,0.794165674987398,0.9810630788595563,0.9177508380797116
Changsha,ETTh2,0.967995677937217,0.7024985864451597,0.9763267836546733,0.8822736826790166
Xian,ETTh2,0.958557420635816,0.5606367721927241,0.9829077426128715,0.8340339784804706
Hangzhou,ETTh2,0.9581894784118069,0.5966309218055801,0.9335428173115481,0.8294544058429784
Zhengzhou,ETTh2,0.95479644676786,0.5225563754994804,0.9735520285594864,0.8169682836089422
Jinan,ETTh2,0.9537997982413234,0.517584228994546,0.9296751587904774,0.8003530620087823
Chengdu,ETTh2,0.9420457413327419,0.39369512030435433,0.9891166372823204,0.7749524996398055
Shanghai,ETTh2,0.9449629899777766,0.49266078657759904,0.8529477511676787,0.7635238425743515
Beijing,ETTh2,0.9463783561019119,0.3683201496876308,0.9618512093909204,0.7588499050601544
Shenyang,ETTh2,0.9365575400698005,0.3038304237532954,0.9251886410200112,0.7218588682810356
Lanzhou,ETTh2,0.9311763563391999,0.23377427955187943,0.9871248574216726,0.7173584977709173
Guangzhou,ETTh2,0.8746476779213921,0.29215762976808973,0.9744587117120077,0.7137546731338298
Harbin,ETTh2,0.9300846026034377,0.17819926636586805,0.9197798948288208,0.6760212545993755
Kunming,ETTh2,0.885998376642357,0.1001947880103206,0.9904135030437531,0.6588688892321436
Urumqi,ETTh2,0.9163572191649711,0.06934719177553021,0.9812859441674071,0.6556634517026362
